偎	亻田一󰀖
拆	扌斤丶󰁶
聂	耳又又󰁧
遂	䒑󰀓辶󰀦
邶	丬󰁴阝󰀢
铜	钅冂一口
业	󰅊一󰀌
垠	土彐󰀖󰁶
簌	⺮一口人
哜	口文󰀯󰀢
讠	讠丶󰁉
瓜	⺁厶󰂃󰀦
刍	⺈彐󰀘
锛	钅大十廾
歉	䒑󰁬󰁗人
墟	土󰅋七一
菠	艹氵󰅌又
舞	󰅎󰀷一丨
蒲	艹氵一丶
暧	日爫冖又
来	一米󰀦
窑	宀八󰅎山
皮	󰅌又󰀦
耘	三󰅇二厶
柃	木人丶󰁻
埃	土厶𠂉大
食	人丶彐󰀖
症	疒一止󰀌
诿	讠禾女󰀝
鐾	尸口立金
蛋	乛󰁾虫󰁧
剩	禾丬匕刂
饱	⺈󰁐勹巳
缸	󰅎山工󰀝
屌	尸口冂丨
楱	木三人大
氟	󰅎⺄弓󰀯
隆	阝夂一主
钜	钅匚󰁃󰀝
豌	一口䒑⺋
璜	王󰁺由八
蒜	艹二小小
扯	扌止󰀝
汝	氵女󰀝
良	丶彐󰀖󰀦
博	十一月寸
铛	钅⺌彐󰀝
旗	方𠂉艹八
瞥	丷冂󰅏目
舰	丿󰁪ㄇ󰁜
艰	又彐󰀖󰁶
嫌	女䒑󰁬󰁗
缩	纟宀亻日
型	一廾刂土
澄	氵癶一䒑
阑	门一󰀹󰅇
辄	车耳乚󰁀
龄	止人凵󰁻
弩	女又弓󰀅
杨	木ㄋ󰁤ノ
嚓	口宀󰁯小
境	土立日儿
卜	卜丨丶
樱	木贝贝女
胂	月日丨󰀢
颃	亠几丆贝
梃	木丿士廴
谠	讠⺌冖儿
歼	一夕丿十
晋	一󰅊一日
氩	󰅎⺄一一
歇	日勹人人
歆	立日⺈人
脚	月土厶卩
皓	白丿土口
蚓	虫弓丨󰀢
锓	钅彐冖又
檗	尸口立木
匣	匚甲󰀵
毽	丿二乚廴
显	日󰅊一󰀘
瘾	疒阝⺈心
缚	纟一󰀐寸
圈	囗䒑大⺋
鸟	勹丶ㄅ一
甜	丿古艹二
巩	工几丶󰁶
乒	󰅍一丿󰁣
氚	󰅎⺄川󰀬
逢	夂三丨辶
艇	丿󰁪丿廴
薨	艹罒冖匕
猜	犭ノ主月
茜	艹西󰀘
晓	日弋丿儿
富	宀一口田
溉	氵彐厶󰁜
怂	人人心󰁧
适	丿古辶󰀌
淠	氵田一󰀯
速	一口󰅇辶
榛	木三人禾
狼	犭ノ丶󰀖
嘣	口山月月
诌	讠⺈彐󰀝
篌	⺮亻ユ大
唳	口丶尸犬
踉	口止丶󰀖
诰	讠丿土口
朊	月二儿󰁀
柘	木石󰀝
耄	土丿匕乚
啾	口禾火󰁶
惯	忄󰅂十贝
捋	扌爫寸󰁶
寄	宀大丁口
迹	亠󰁖辶󰀦
缄	纟厂一丶
枸	木勹口󰀝
垸	土宀二儿
厮	厂艹三斤
腿	月彐󰀖辶
聊	耳󰁚丿卩
亩	亠田󰀘
尝	⺌冖二厶
坞	土勹ㄅ一
铊	钅宀匕󰁀
鸠	九勹丶一
鲠	󰁢󰀞一乂
谝	讠丶尸艹
瞩	目尸丿丶
旖	方𠂉大口
槛	木〢𠂉皿
冚	冖山󰀬
凋	冫󰀼土口
寐	宀󰄃丨󰅇
棘	一冂󰅇󰅇
滕	月䒑大氺
舟	丿󰁪󰀦
袅	勹丶ㄅ󰀔
追	亻󰁃󰁃辶
磷	石米夕丨
蜓	虫丿士廴
霓	󰀙臼儿󰀅
耥	三󰅇⺌口
喾	󰀧冖丿口
很	彳彐󰀖󰁶
疾	疒𠂉大󰀦
轩	车干󰀢
眨	目丿之󰁶
罄	士󰁅几山
摔	扌亠ㄠ十
齄	丿目田一
蟋	虫丿米心
木	木木木木
彩	爫木彡ノ
池	氵也󰁀
筝	⺮⺈󰁬亅
橱	木厂一寸
屠	尸土丿日
邂	⺈用刀辶
发	ㄥ丿又丶
莜	艹亻丨夂
镧	钅门一󰅇
掬	扌勹米󰁶
艚	丿󰁪一日
佚	亻󰅎人󰁶
敕	一口󰅇夂
谣	讠爫󰅎山
圃	囗一月丶
毡	丿二乚口
筌	⺮人王󰀘
瀛	氵亠󰄃丶
敝	丷冂󰅏夂
麸	主夕二人
氪	󰅎⺄古儿
黉	󰀧冖󰁺八
繇	爫󰅎山小
偾	亻十艹贝
虚	󰅋七󰅊一
烊	火丷󰅆󰀢
袋	亻弋亠󰀔
郊	亠八乂阝
掣	󰅎冂丨手
蚝	虫丿二乚
瑾	王廿口主
庄	广土󰀌
惊	忄󰁸小󰁶
号	口一ㄅ󰀅
覃	覀早󰀬
妃	女己󰁀
素	主ㄠ小󰁧
五	五一丨一
剜	宀夕⺋刂
谩	讠日罒又
屋	尸一厶土
躔	口止广土
鳖	丷冂󰅏一
橛	木厂䒑人
刚	冂乂刂󰀢
牙	󰀂亅丿󰀏
撷	扌士口贝
鹞	爫󰅎山一
孖	孑子󰀝
螓	虫三人禾
放	方夂󰁶
钷	钅匚口󰀝
瞓	目言川󰀢
普	䒑󰅊一日
侏	亻󰅎󰅇󰁶
碰	石䒑󰅊一
墅	日土󰁻土
组	纟󰀐一󰀝
怊	忄刀口󰀝
蚨	虫二人󰁶
绩	纟主贝󰁶
滩	氵又亻󰁷
鄂	口口二阝
逊	孑小辶󰀦
黠	󰀹土灬口
藉	艹三󰅇日
胡	古月󰀝
脂	月匕日󰀝
地	土也󰁀
簸	⺮艹三又
鳞	󰁢󰀞米丨
腼	月丆冂三
啥	口人干口
怃	忄二󰁜󰁀
古	古一丨一
峰	山夂三丨
泰	三人氺󰁧
形	一廾彡ノ
摅	扌󰅋七心
耙	三󰅇巴󰁀
莆	艹一月丶
崃	山一米󰁶
杓	木勹丶󰁶
靓	主月ㄇ󰁜
岿	山リ彐󰀘
狷	犭ノ口月
苷	艹艹二󰀘
筠	⺮土勹冫
鸣	口勹丶一
酊	西一丁󰀢
掼	扌󰅂十贝
鸿	氵工勹一
腊	月󰁺日󰀝
饵	⺈󰁐耳󰀝
椋	木󰁸小󰁶
磔	石夕󰀂木
仙	亻山󰀢
苜	艹目󰀘
叨	口刀ノ
呋	口二人󰁶
逋	一用辶
渔	氵󰁢一󰀝
牖	丿丨一丶
涠	氵囗二丨
箩	⺮罒夕󰁧
奠	丷西一大
爿	󰄃丨丆󰀏
踔	口止󰀥早
镦	钅󰁸孑攵
宰	宀辛󰀬
银	钅彐󰀖󰁶
谰	讠门一󰅇
倦	亻䒑大⺋
遒	丷西一辶
记	讠己󰁀
屿	山一ㄅ一
甚	艹三八󰄃
娌	女日土󰀝
恒	忄一日一
锻	钅亻三又
聒	耳丿古󰀝
蹄	口止亠丨
炊	火⺈人󰁶
匍	勹一月丶
鹄	丿土口一
橇	木丿二乚
葚	艹艹三󰄃
湄	氵󰁅目󰀝
幄	冂丨尸土
膂	方𠂉󰀕月
秃	禾几󰀅
吨	口一凵乚
冂	冂丨𠃌
琨	王日󰁴匕
汩	氵日󰀝
盛	厂𠃌󰅅皿
湔	氵䒑月刂
瞵	目米夕丨
蛛	虫󰅎󰅇󰁶
昧	日二󰅇󰁶
溥	氵一月寸
缺	󰅎山ユ人
瑷	王爫冖又
湎	氵丆冂三
孰	󰁸孑九丶
濑	氵一口贝
蟓	虫⺈口󰀓
耨	三󰅇厂寸
染	氵九木󰁧
氛	󰅎⺄八刀
蠃	亠󰄃口丶
嗾	口方𠂉大
丿	丿丿〇〇
测	氵贝刂󰀢
郑	䒑大阝󰀢
甘	艹二󰀌
氙	󰅎⺄山󰀬
惑	戈口󰀞心
耒	三󰅇󰀦
讷	讠冂人󰁶
砒	石󰁴匕󰁀
诛	讠󰅎󰅇󰁶
鞯	廿󰀜艹子
禊	礻󰁶三大
圹	土广ノ
枯	木古󰀝
绺	纟夂卜口
螯	主󰁡夂虫
霹	󰀙尸口辛
膊	月一󰀐寸
媵	月䒑大女
绻	纟䒑大⺋
嘶	口艹三斤
睾	丿罒土十
啵	口氵󰅌又
棋	木艹三八
巷	󰁺八巳󰀅
筛	⺮リ一丨
挚	扌九丶手
孛	十冖子󰀘
舜	爫冖夕丨
耖	三󰅇小丿
怏	忄ㄇ大󰁶
嬴	亠󰄃口丶
茚	艹󰁚一卩
懊	忄丿ㄇ大
燊	火火火木
臊	月口口木
馋	⺈󰁐⺈󰁦
瀑	氵日󰁺氺
窃	宀八七刀
筷	⺮忄ユ人
棒	木三人󰀟
耗	三󰅇丿乚
帙	冂丨󰅎人
缣	纟䒑󰁬󰁗
椴	木亻三又
坯	土丆卜一
杯	木丆卜󰁶
洚	氵夂󰀂丨
唧	口彐厶卩
湛	氵艹三󰄃
舸	丿󰁪丁口
铼	钅一米󰁶
簿	⺮氵一寸
睐	目一米󰁶
籁	⺮一口贝
誊	䒑大言󰀘
蚶	虫艹二󰀝
殷	⺁彐𠃌又
龈	止人凵󰀖
乌	勹ㄅ一󰀌
澌	氵艹三斤
辚	车米夕丨
氆	丿二乚日
宛	宀夕⺋󰀅
殛	一夕了一
秋	禾火󰁶
艋	丿󰁪子皿
庠	广丷󰅆󰀵
遑	白王辶󰀌
袒	衤󰁧日一
滗	氵⺮丿乚
劂	厂䒑凵刂
墒	土亠丷口
佺	亻人王󰀝
辨	辛丶丿辛
羨	丷王氵人
惮	忄丷曰十
轺	车刀口󰀝
隹	亻󰁷󰀝
暹	日亻󰁷辶
膦	月米夕丨
艨	丿󰁪艹󰀓
赙	贝一月寸
毹	人一月乚
旄	方𠂉丿乚
黼	󰅊一丷丶
舻	丿󰁪󰀥尸
趺	口止二人
餮	一夕人󰀖
厶	厶ㄥ丶
谌	讠艹三󰄃
卷	䒑大⺋󰀅
茱	艹󰅎󰅇󰁧
脯	月一月丶
嫠	二󰅇夂女
毛	丿二乚󰁫
厚	厂日子󰀌
习	𠃌冫󰀌
农	冖󰀔󰀦
剌	一口󰅇刂
捂	扌五口󰀝
膜	月艹日大
茶	艹人木󰁧
楝	木一󰀹󰅇
祝	礻󰁶口儿
迨	厶口辶󰀌
虔	󰅋七文󰀦
茑	艹勹丶一
人	人人人人
睹	目土丿日
溺	氵弓冫冫
鬃	󰂞彡宀小
躺	丿󰀽三口
笔	⺮丿二乚
寤	宀󰄃丨口
姝	女󰅎󰅇󰁶
晡	日一月丶
僮	亻立日土
侨	亻丿大󰀯
鹣	䒑󰁬󰁗一
浪	氵丶彐󰀖
淇	氵艹三八
嵌	山艹二人
瑚	王古月󰀝
礓	石一田一
褓	衤󰁧亻木
酒	氵西一󰀝
氤	󰅎⺄囗大
蜞	虫艹三八
蚧	虫人󰀯󰀢
缠	纟广日土
漠	氵艹日大
张	弓丿七󰂃
传	亻二󰁓丶
漱	氵一口人
舳	丿󰁪由󰀝
祺	礻󰁶艹八
陶	阝勹󰅎山
根	木彐󰀖󰁶
灸	ク󰂃火󰁧
蠹	一口丨虫
刊	干刂󰀢
浦	氵一月丶
蒹	艹䒑󰁬󰁗
俺	亻大日乚
蒗	艹氵丶󰀖
帔	冂丨󰅌又
纯	纟一凵乚
溯	氵䒑凵月
瘌	疒一口刂
虮	虫几󰁀
朱	󰅎󰅇󰀦
蘧	艹󰅋七辶
儒	亻󰀙丆〢
潜	氵二人日
祓	礻󰁶丶
琚	王尸古󰀝
汛	氵⺄十󰀢
脒	月米󰁶
怜	忄人丶󰁻
焦	亻󰁷灬󰁧
它	宀匕󰀅
殃	一夕ㄇ大
秩	禾󰅎人󰁶
徕	彳一米󰁶
嫩	女一口夂
拊	扌亻寸󰁶
氦	󰅎⺄亠人
苊	艹厂⺋󰀅
强	弓口虫󰁶
伺	亻𠃌一口
岛	勹丶ㄅ山
皲	冖车󰅌又
雹	󰀙勹巳󰀅
蛹	虫󰁻用
珂	王丁口󰀝
曹	一ㄇ󰁺日
饔	亠󰁲丿󰀖
萄	艹勹󰅎山
暮	艹日大日
僚	亻大丷小
蹯	口止丿田
碛	石主贝󰁶
胚	月丆卜一
颛	山丆冂贝
懒	忄一口贝
薄	艹氵一寸
慊	忄䒑󰁬󰁗
妓	女十又󰁶
逄	夂󰀂丨辶
毳	丿二乚乚
纸	纟󰁚弋󰁀
隧	阝䒑󰀓辶
惜	忄󰁺日󰀝
嘧	口宀心山
胜	月丿主󰀝
氇	丿二乚日
把	扌巴󰁀
彼	彳󰅌又󰁶
芊	艹丿十󰀬
立	立立立立
御	彳󰅎止卩
时	日寸󰁶
鸷	扌九丶一
稂	禾丶彐󰀖
瓞	⺁厶󰂃人
鹱	勹丶ㄅ又
诃	讠丁口󰀝
艏	丿󰁪䒑目
鸪	古勹丶一
波	氵󰅌又󰁶
氢	󰅎⺄ス工
铍	钅󰅌又󰁶
刺	一冂󰅇刂
悚	忄一口󰅇
缎	纟亻三又
肚	月土󰀝
未	二󰅇󰀦
皱	⺈彐󰅌又
姓	女丿主󰀝
基	艹三八土
撕	扌艹三斤
堪	土艹三󰄃
醒	西一日主
谏	讠一󰀹󰅇
硝	石⺌月󰀝
肜	月彡󰁥
调	讠󰀼土口
策	⺮一冂󰅇
笋	⺮󰁬丿󰁣
逸	⺈口󰁜辶
半	䒑十󰀵
阆	门丶彐󰀖
混	氵日󰁴匕
蘖	艹亻󰁃木
跷	口止弋儿
阶	阝人󰀯󰀢
铺	钅一月丶
铢	钅󰅎󰅇󰁶
倮	亻日木󰁶
柯	木丁口󰀝
被	衤󰁧󰅌又
党	⺌冖口儿
夫	二人󰀦
耕	三󰅇二󰀯
腚	月宀一󰁾
酚	西一八刀
帷	冂丨亻󰁷
岳	󰅍一山󰀬
牒	丿丨一木
枣	一ㄇ󰅇󰁦
滤	氵󰅋七心
绀	纟艹二󰀝
搏	扌一月寸
郜	丿土口阝
娓	女尸丿乚
扒	扌八󰁶
锚	钅艹田󰀝
搂	扌米女󰀝
椹	木艹三󰄃
连	车辶󰀵
腮	月田心󰁶
煮	土丿日灬
即	彐厶卩󰀢
酮	西一冂口
罐	󰅎山艹󰁷
味	口二󰅇󰁶
盘	丿󰁪皿󰀘
镶	钅亠口󰀔
嵛	山人一刂
奘	󰄃丨丆大
迭	󰅎人辶󰀦
嶷	山匕𠂉󰁾
餐	󰀥夕又󰀖
瞬	目爫冖丨
严	一󰅊厂󰁣
娘	女丶彐󰀖
喇	口一口刂
眼	目彐󰀖󰁶
荫	艹阝月󰀘
芝	艹之󰁧
刮	丿古刂󰀢
戮	羽人彡戈
囝	囗子󰀌
曝	日日󰁺氺
邗	干阝󰀢
慎	忄十󰀣八
戒	戈廾󰀵
划	戈刂󰀢
苟	艹勹口󰀘
铂	钅白󰀝
沃	氵丿大󰁶
饧	⺈󰁐ㄋ󰁤
祯	礻󰁶󰀥贝
涛	氵三丿寸
醮	西一亻灬
珊	王󰀼󰀼一
菊	艹勹米󰁧
鏊	主󰁡夂金
糯	米󰀙丆〢
醵	西一󰅋󰀓
絷	扌九丶小
起	土󰁾己󰁫
芪	艹󰁚弋󰀅
海	氵𠂉母󰁶
吴	口一大󰁧
绉	纟⺈彐󰀝
讯	讠⺄十󰀢
糊	米古月󰀝
膈	月一口丨
踟	口止𠂉口
琍	王禾刂󰀢
蝶	虫廿󰄃木
骓	󰀊󰀞亻󰁷
桉	木宀女󰀝
狒	犭ノ弓󰀯
誓	扌斤言󰀘
煦	日勹口灬
拒	扌匚󰁃󰀝
掸	扌丷曰十
俞	人一月刂
郦	一冂丶阝
碹	石宀一一
鬯	󰁘凵匕󰀅
撂	扌田夂口
昏	󰁚弋日󰀘
巛	巛󰁑󰁑󰁑
跛	口止󰅌又
掊	扌立口󰀝
零	󰀙人丶󰁻
诋	讠󰁚󰀁丶
轳	车󰀥尸ノ
竟	立日儿󰀅
咂	口匚冂丨
眶	目匚王󰀝
贷	亻󰀁丶贝
瓶	䒑廾一丶
爵	爫罒彐寸
合	人一口󰀘
懵	忄艹罒目
呈	口王󰀘
凵	凵󰄃丨
抵	扌󰁚󰀁丶
瑕	王󰁃丨又
又	又又又又
攴	󰀥又󰁧
髓	󰀾月辶
芒	艹亠󰄃󰀅
犒	ノ扌󰁸口
抒	扌󰁻乛亅
祧	礻󰁶儿󰀪
灵	彐火󰁧
坝	土贝󰁶
辞	丿古辛󰀢
飧	夕人丶󰀖
倏	亻丨夂犬
髯	󰂞彡冂土
摊	扌又亻󰁷
簋	⺮彐󰀖皿
帛	白冂丨󰀬
告	丿土口󰀘
锶	钅田心󰁶
丛	人人一󰀘
谋	讠艹二木
蕴	艹纟日皿
三	三一一一
收	󰁐丨夂󰁶
丐	一󰀥ㄅ󰁫
嘟	口土丿阝
巧	工一ㄅ󰁀
待	彳土寸󰁶
乘	禾丬匕󰁫
卒	亠人人十
乞	𠂉乙󰀅
獒	󰁡攵犬
荒	艹亠󰄃󰀸
鬓	󰂞彡宀八
争	⺈󰁬亅󰀬
狎	犭ノ甲󰀢
封	土土寸󰁶
亠	亠丶一
狮	犭ノリ丨
拮	扌士口󰀝
砝	石土厶󰁶
潞	氵口止口
稹	禾十󰀣八
锂	钅日土󰀝
猴	犭ノ亻大
鹛	󰁅目勹一
琊	王󰀂亅阝
颧	艹口口贝
吊	口冂丨󰀬
幛	冂丨立早
擀	扌十日干
梯	木丷弓丿
遮	广廿灬辶
屮	凵丨󰀵
嫜	女立早󰀢
作	亻𠂉丨二
狴	犭ノ󰁴土
午	𠂉十󰀬
缰	纟一田一
恶	一󰅊一心
孓	了󰂃󰀦
估	亻古󰀝
俨	亻一󰅊厂
仞	亻刀丶󰁶
掀	扌斤⺈人
嗝	口一口丨
令	人丶󰁻󰁧
价	亻人󰀯󰀢
劈	尸口立刀
掴	扌囗王丶
伦	亻人匕󰁀
猝	犭ノ亠十
狈	犭ノ贝󰁶
怩	忄尸匕󰁀
炸	火𠂉丨二
悸	忄禾子󰀝
壹	士冖一䒑
事	一口󰁬亅
邦	三丿阝󰀢
却	土厶卩󰀢
邸	󰁚󰀁丶阝
裹	亠日木󰀔
挂	扌土土󰀝
炮	火勹巳󰁀
肮	月亠几󰁀
邮	由阝󰀢
涪	氵立口󰀝
蓊	艹八厶羽
鲋	󰁢󰀞亻寸
佝	亻勹口󰀝
桷	木⺈用
宓	宀心丿󰁣
佰	亻丆日󰀝
彰	立早彡󰁥
佞	亻二女󰀝
娣	女丷弓丿
衷	亠口丨󰀔
顷	󰁴丆贝󰁶
襁	衤󰁧弓虫
祁	礻󰁶阝󰀢
愀	忄禾火󰁶
奁	大匚乂󰁧
碥	石丶尸艹
骛	󰁻乛亅一
佳	亻土土󰀝
锫	钅立口󰀝
课	讠日木󰁶
赈	贝厂二󰀖
禹	丿口冂丶
峋	山勹日󰀝
跃	口止丿大
砧	石󰀥口󰀝
址	土止󰀝
喂	口田一󰀖
愉	忄人一刂
恏	女子心󰁧
酪	西一夂口
芥	艹人󰀯󰀬
炷	火丶王󰀝
埝	土人丶心
意	立日心󰁧
钊	钅刂󰀢
寓	宀日冂丶
剀	山󰁁刂󰀢
砷	石日丨󰀢
样	木丷󰅆󰀢
断	米󰄃斤󰀢
莒	艹口口󰀘
篓	⺮米女󰀘
排	扌丨三三
礁	石亻󰁷灬
悦	忄丷口儿
兀	一儿󰁫
椁	木󰁸子󰀝
俜	亻由一ㄅ
坨	土宀匕󰁀
俩	亻一冂人
俪	亻一冂丶
詹	⺈厂八言
穹	宀八弓󰀅
俱	亻󰀣八󰁶
驹	󰀊󰀞勹口
矧	𠂉大弓丨
耦	三󰅇日丶
逦	一冂丶辶
觯	⺈用丷十
啉	口木木󰁶
缜	纟十󰀣八
依	亻亠󰀔󰁶
锉	钅人人土
镊	钅耳又又
篙	⺮󰁸冂口
沂	氵斤󰀢
蕊	艹心心心
尓	𠂉小󰁧
摒	扌尸䒑廾
哉	十戈口󰀌
翰	十早人羽
述	木丶辶󰀦
逶	禾女辶󰀌
仟	亻丿十󰀢
休	亻木󰁶
槁	木󰁸冂口
笛	⺮由󰀘
见	ㄇ󰁜󰀅
私	禾厶󰁶
蒉	艹口丨贝
陂	阝󰅌又󰁶
荚	艹一丷大
然	󰁝犬灬󰁧
吵	口小丿ノ
搵	扌囗人皿
质	⺁十贝󰀦
环	王丆卜󰁶
眚	丿主目󰀘
惶	忄白王󰀝
漶	氵口口心
佛	亻弓󰀯󰀢
遄	山丆冂辶
讧	讠工󰀝
疝	疒山󰀵
淞	氵木八厶
冉	冂土󰀌
堰	土匚日女
够	勹口夕夕
隗	阝白󰁜厶
笸	⺮匚口󰀘
燧	火䒑󰀓辶
冥	冖曰六󰁧
冰	冫水󰁶
眈	目冖󰁜󰁀
蜈	虫口一大
赴	土󰁾卜󰀦
凄	冫一󰁬女
蝈	虫囗王丶
乃	乃ㄋ丿
褊	衤󰁧丶艹
昂	日󰁚卩󰀬
阂	门亠ㄥ人
檀	木亠囗一
县	󰀐一厶󰁧
皈	白⺁又󰁶
糨	米弓口虫
供	亻󰁺八󰁶
候	亻丨ユ大
注	氵丶王󰀝
愧	忄白󰁜厶
称	禾⺈小󰁶
榨	木宀八二
榆	木人一刂
踞	口止尸古
镝	钅亠丷古
歧	止十又󰁶
乙	乙乙〇〇
澍	氵士口寸
辛	辛丶一丨
龛	人一口丶
镖	钅覀二小
绅	纟日丨󰀢
叉	又丶󰀦
揿	扌钅⺈人
桥	木丿大󰀯
卦	土土卜󰁶
痊	疒人王󰀌
趋	土󰁾⺈彐
吾	五口󰀘
溃	氵口丨贝
盂	一󰀛皿󰀘
喜	士口䒑口
电	日乚󰁫
锵	钅丬夕寸
迩	⺈小辶󰀦
溴	氵丿目犬
白	白白白白
唯	口亻󰁷󰀝
铵	钅宀女󰀝
枚	木夂󰁶
垚	土土土󰀘
锯	钅尸古󰀝
讨	讠寸󰁶
甯	宀心用󰀬
支	十又󰁧
缬	纟士口贝
浞	氵口󰁾󰁶
阝	阝󰁋丨
苦	艹古󰀘
进	二󰀯辶󰀵
疵	疒止匕󰁫
械	木戈廾󰀢
周	󰀼土口󰀌
涸	氵囗古󰀝
唿	口勹󰁤心
喊	口厂一丶
耵	耳丁󰀢
丞	了󰀩一󰀘
淋	氵木木󰁶
逵	土八土辶
跋	口止丶
练	纟󰀂𠃌八
暂	车斤日󰀘
瀵	氵米田八
仃	亻丁󰀢
昝	夂卜日󰀘
锿	钅󰁸󰀔󰁶
趸	一󰁡口󰁾
蚂	虫󰀊一󰀝
卯	󰁚丿卩󰀢
擞	扌米女夂
獯	犭ノ丿灬
药	艹纟勹丶
岫	山由󰀝
遵	丷西一辶
念	人丶乛心
吧	口巴󰁀
涞	氵一米󰁶
镒	钅䒑八皿
愎	忄𠂉日夂
衰	亠口一󰀔
仕	亻士󰀝
俦	亻三丿寸
咝	口󰁲󰁲一
憧	忄立日土
下	一卜󰀦
円	冂丨一󰀌
咧	口一夕刂
哟	口纟勹丶
哥	丁口丁口
塔	土艹人口
哐	口匚王󰀝
雉	𠂉大亻󰁷
缃	纟木目󰀝
捉	扌口󰁾󰁶
哧	口土󰁖󰁶
弊	丷冂󰅏廾
伊	亻󰁬丿ノ
唔	口五口󰀝
坂	土⺁又󰁶
卿	󰁚丿彐卩
唤	口⺈ㄇ大
艮	彐󰀖󰀦
啁	口󰀼土口
卵	󰁚丶丿丶
啜	口又又又
芷	艹止󰀘
犷	犭ノ广ノ
攒	扌丿土贝
锒	钅丶彐󰀖
赓	广󰁬人贝
啧	口主贝󰁶
钝	钅一凵乚
啶	口宀一󰁾
牦	ノ扌丿乚
扦	扌丿十󰀢
砚	石ㄇ󰁜󰁀
後	彳幺夂󰁶
之	之之之之
喝	口日勹󰄃
喟	口田月󰀝
鹋	艹田勹一
蹋	口止日羽
瘊	疒亻ユ大
昊	日一大󰁧
蜂	虫夂三丨
偈	亻日勹󰄃
荛	艹弋丿儿
嗄	口丆目夂
佃	亻田󰀝
献	十冂䒑犬
喧	口宀一一
匮	匚口丨贝
芮	艹冂人󰁧
銮	亠󰁗金󰀘
烷	火宀二儿
鲛	󰁢󰀞亠乂
涓	氵口月󰀝
痒	疒丷󰅆󰀵
嗦	口十冖小
嗒	口艹人口
州	丶丿丶丨
唷	口亠厶月
噜	口󰁢一日
巫	工人人󰀦
麋	广󰁃〢米
芦	艹丶尸󰁣
崞	山󰁸子󰀝
洞	氵冂一口
囊	一口丨󰀔
沙	氵小丿ノ
益	䒑八皿󰀘
蛊	虫皿󰀘
嵫	山䒑ㄠㄠ
诸	讠土丿日
寸	寸一亅丶
拿	人一口手
龃	止人凵一
床	广木󰀦
蝉	虫丷曰十
较	车亠八乂
埂	土一日乂
睚	目厂土土
牮	亻弋󰅎丨
扮	扌八刀ノ
囧	囗八ㄇ󰁫
泛	氵丿之󰁶
刷	尸冂丨刂
启	丶尸口󰀌
疒	疒丶一󰀞
户	丶尸󰀏
呶	口女又󰁶
舷	丿󰁪亠ㄠ
囚	囗人󰀦
锝	钅日一寸
坟	土文󰁶
肷	月⺈人󰁶
汞	工水󰁧
属	尸丿口丶
咚	口夂󰁦󰁶
葶	艹󰁸冖丁
滋	氵䒑ㄠㄠ
垢	土⺁一口
蚊	虫文󰁶
搿	人一手
霉	󰀙𠂉母󰁧
垧	土丿冂口
介	人󰀯󰀬
埚	土口冂人
圉	囗土䒑十
有	月󰀘
螂	虫丶彐阝
蜉	虫爫子󰀝
媸	女凵丨虫
心	心丶󰁒丶
促	亻口󰁾󰁶
今	人丶乛󰀅
焉	一止一灬
专	二󰁓丶󰀦
洛	氵夂口󰀝
晒	日西󰀝
埤	土白丿十
饰	⺈󰁐𠂉丨
埯	土大日乚
埴	土十󰀣󰀝
铝	钅口口󰀝
堂	⺌冖口土
堋	土月月󰀝
剃	丷弓丨刂
哝	口冖󰀔󰁶
崛	山尸凵山
秧	禾ㄇ大󰁶
蓝	艹〢𠂉皿
缋	纟口丨贝
堠	土亻ユ大
弋	弋一󰁒丶
堤	土日一󰁾
桂	木土土󰀝
承	了三󰀩󰀦
牿	ノ扌ノ口
艿	艹乃󰁣
嗉	口主ㄠ小
上	上丨一一
塑	䒑凵丿土
塥	土一口丨
仇	亻九󰁀
踊	口止󰁻用
痉	疒ス工󰀌
鲨	氵小丿一
乓	󰅍一丶󰁧
憷	忄木木󰁾
湓	氵八刀皿
冷	冫人丶󰁻
眉	󰁅目󰀌
猊	犭ノ臼儿
壁	尸口立土
壤	土亠口󰀔
薯	艹罒土日
缨	纟贝贝女
蛉	虫人丶󰁻
昆	日󰁴匕󰀅
大	大大大大
头	󰁦大󰀦
斯	艹三八斤
阒	门目犬󰀦
畦	田土土󰀝
涧	氵门日󰀝
厝	厂󰁺日󰀌
恙	丷王心󰁧
砂	石小丿ノ
奖	丬夕大󰁧
郁	月阝󰀢
诞	讠丿止廴
奥	丿ㄇ米大
贸	󰁚丶刀贝
偕	亻󰁴匕白
耶	耳阝󰀢
妙	女小丿ノ
妥	爫女󰀘
酷	西一丿口
篷	⺮夂三辶
库	广车󰀵
姊	女丿ㄅ丿
始	女厶口󰀝
亓	二󰀯󰀬
售	亻󰁷口󰀘
拚	扌厶廾󰀢
姥	女土丿匕
娄	米女󰀘
蟹	⺈用刀虫
偶	亻日冂丶
绨	纟丷弓丿
培	土立口󰀝
嗯	口囗大心
旯	日九󰀅
盒	人一口皿
仨	亻三󰀝
灶	火土󰀝
刖	月刂󰀢
娅	女一󰅊一
娆	女弋丿儿
老	土丿匕󰀅
送	䒑大辶󰀦
赧	土󰁖卩又
鲒	󰁢󰀞士口
葑	艹土土寸
粒	米立󰀝
藿	艹󰀙亻󰁷
阚	门乛耳夂
辋	车冂䒑󰄃
龋	止人凵丶
晚	日⺈口󰁜
娱	女口一大
滓	氵宀辛󰀢
廓	广󰁸孑阝
仓	人⺋󰀅
疚	疒ク󰂃󰀦
炖	火一凵乚
婚	女󰁚弋日
婧	女主月󰀝
亳	󰁸冖丿七
