偎	亻田一フノㄟ
暇	日フ一丨一一フ一又
妓	女十又
暅	日忄一日一
暗	日立日
歇	日勹人フ人
鼠	臼フ丶丶フ丶丶フ
昧	日未
厂	一ノ
胜	月生
烜	火一日一
把	扌巴
盟	日月皿
侠	亻夹
立	亠丷一
嗄	口一自夂
时	日寸
闶	门亠几
偈	亻日勹人フ
愚	禺心
嗝	口一口冂丷一丨
诃	讠丁口
嗦	口十冖幺小
嗔	口十具上八
嗬	口艹亻丁口
嗫	口耳又又
狯	犭人二厶
嗜	口耂匕日
悚	忄束
嘟	口耂日阝
肚	月土
睥	目ノ丨フ一一ノ十
睨	目臼儿
冒	冂一一目
睡	目垂
殊	歹朱
嗪	口寿上ㄟ禾
醒	酉日生
瞄	目艹田
炜	火韦
簃	禾夕夕
调	讠冂土口
睹	目耂日
笋	尹
项	工一ノ冂人
半	丶ノ一一丨
鉴	丨丨ノ一丶金
昶	永日
虞	虍口天
耸	人人耳
阶	阝人ノ丨
粲	丨一夕又米
婧	女月
埯	土大电
柯	木丁口
觜	止匕用
党	冖口儿
龆	止人凵刀口
龃	止人凵且
腚	月宀一丨一人
酚	酉八刀
帷	巾亻亠
频	止丨ノノ一ノ冂人
牒	片世木
遄	辶山而
粒	米立
毪	毛厶牛
辐	车一口田
郜	口阝
娓	女尸毛
扒	扌八
锚	钅艹田
典	丨フ一丨丨一八
甚	其上八フ
连	辶车
腮	月田心
煮	耂日灬
莲	艹车辶
酮	酉冂一口
肷	月人
碗	石宀夕フフ
准	冫亻亠
镶	钅亠口口一一丨丨一𧘇
嵛	山人一月刂
碚	石立口
屃	尸冂人
啶	口宀一丨一人
碉	石冂土口
鸿	氵工鸟
碍	石日一寸
感	戌口心
讽	讠几乂
酩	酉夕口
剽	西二小刂
赖	束冂人
刮	千口刂
戮	习习人ノノノ戈
庞	广龙
怦	忄平
蒺	艹疒矢
楣	木フ丨一ノ目
戒	戈廾
划	戈刂
蓂	艹冖日亠八
铂	钅白
沃	氵夭
饧	饣フノノ
祯	礻丨一冂人
宋	宀木
残	歹戋
珊	王册
菊	艹勹米
鏊	フノ攵金
楦	木宀一日一
泯	氵民
絷	扌丸幺小
起	土丨一人己
榇	木立朩
海	氵ノ一母
榆	木人一月刂
蒡	艹亠丷冖方
槌	木ノ㠯辶
椴	木ノ丨一一一几又
椟	木十フ丶丶大
广	亠ノ
楫	木口耳
榄	木丨丨ノ一丶冂见下
骓	马亻亠
楷	木比左匕白
狒	犭弗
苒	艹冉
诹	讠耳又
枝	木十又
掸	扌丷丨フ一一一丨
俞	人一月刂
郦	丽阝
蒂	艹亠丷冖巾
鬯	乂丶丶丶丶凵匕
泃	氵勹口
楝	木柬
楚	木木フ丨一人
胸	月勹乂凵
疚	疒久
楂	木木日一
诋	讠氐
禁	木木二小
楠	木十冂丷干
咂	口匚巾
肼	月井
贷	亻弋冂人
瓶	丷开瓦
楔	木丰刀大
蓣	艹フ丨一ノ冂人
贤	丨丨又冂人
颐	匚丨口丨一ノ冂人
蓥	艹冖金
蓉	艹宀八人口
蒗	艹氵良
蒲	艹氵甫
出	フ丨丨凵
髓	骨工月辶
芒	艹亡
楯	木ノノ十目
抒	扌フ丨
祧	礻儿冫ノ丶
蒟	艹立勹口
坝	土冂人
她	女也
飧	夕人良
蓠	艹亠乂凵丨フフ丶
楹	木乃又皿
崃	山来
虚	虍业
帛	白巾
告	口
锶	钅田心
丛	人人一
谋	讠甘木
蓑	艹亠丨フ一一𧘇
蓬	艹夂丰辶
泷	氵龙
蓟	艹鱼刂
销	钅月
摄	扌耳又又
蓖	艹ノ囗乂比左匕
蓓	艹亻立口
卒	亠人人十
晋	亚日
獒	フノ攵犬
荒	艹亡ノ丨フ
鬓	一丨一二厶ノノノ宀丘八
墓	艹日大土
然	ノフ丶丶犬灬
丹	ノフ丶一
婊	女𧘇
狮	犭丨ノ一巾
佞	亻二女
烦	火一ノ冂人
栝	木千口
娜	女フ一一ノ阝
锂	钅里
勤	廿丨フ一一一丨一力
阚	门フ耳攵
浃	氵夹
颧	艹口口亻亠一ノ冂人
屋	尸一厶土
绞	纟亠八乂
弟	丷フ一フ丨ノ
梯	木丷フ一フ丨ノ
遮	辶广廿灬
袯	衤フノ又丶
搡	扌又又又木
摊	扌又亻亠
祭	ノフ丶丶二小
搌	扌尸艹一フノㄟ
灶	火土
恶	亚心
孓	フ丨ㄟ
估	亻十口
俨	亻严
毂	士冖车几又
尖	小大
匦	匚车九
搠	扌丷一フ丨ノ月
攻	工攵
塘	土广フ一一丨口
搞	扌亠口冂口
塮	156
鼓	士口丷一十又
摁	扌囗大心
摅	扌虍心
炸	火乍
悸	忄禾子
壹	士冖一口丷一
趑	土丨一人冫人
痂	疒力口
趔	土丨一人歹刂
邸	氐阝
裹	亠果𧘇
搏	扌甫寸
炮	火勹巳
肮	月亠几
邮	由阝
填	土十具上八
蓊	艹八厶习习
铊	钅宀匕
肆	一丨一二厶聿
桷	木用
宓	宀必
佰	亻百
彰	立日十ノノノ
韫	韦日皿
瑙	王フフフノ囗乂
衷	亠中𧘇
顷	比左一ノ冂人
梧	木五口
祁	礻阝
拚	156
奁	大匚乂
瑕	王フ一丨一一フ一又
骛	フ丨ノ攵马
瑗	王ノ⺍一又
瑜	王人一月刂
瑀	王禹
瑰	王鬼
禹	ノ丨フ一丨フ丨一丶
峋	山勹日
妹	女未
砧	石丨一口
瑞	王山而
喂	口田一フノㄟ
觌	十フ丶丶大冂见下
鹉	一弋止鸟
瑚	王十口月
瑟	王王必
耢	耒艹冖力
玕	王干
缗	纟民日
钊	钅刂
寓	宀禺
骗	马户冂艹
砷	石申
样	木羊
缕	纟米女
诓	讠匚王
篓	米女
排	扌非
礁	石亻亠灬
悦	忄丷口儿
兀	一儿
伞	人丶ノ十
缑	纟亻フ一矢
缏	156
缌	纟田心
缉	纟口耳
啊	口阝丁口
穹	宀八弓
缈	纟目少
驹	马勹口
矧	矢弓丨
耦	耒禺
逦	辶丽
券	刀
彘	フフ一矢比左匕
缃	纟木目
守	宀寸
虺	兀虫
镊	钅耳又又
毕	比左匕十
菼	艹火火
蕊	艹心心心
媚	女フ丨一ノ目
氓	亡民
婷	女亠口冖丁
谓	讠田月
述	辶术
逶	辶禾女
媛	女ノ⺍一又
嫂	女ノ丨一フ一一丨又
七	一フ
布	巾
见	冂见下
私	禾厶
奄	大电
陂	阝フノ丨又
荚	艹夹
媒	女甘木
洨	氵亠八乂
隘	阝丷一八皿
质	ノノ十冂人
环	王不
眚	生目
骘	阝止丨ノノ马
逑	辶求
佛	亻弗
巽	巳巳艹一八
荦	艹冖牛
疝	疒山
砰	石平
姥	女耂匕
堰	土匚日女
强	弓口虫
孱	尸子子子
笸	匚口
欸	厶矢人
屡	尸米女
属	尸禹
钆	钅フ
寂	宀上小又
塈	156
谧	讠必皿
芾	艹一丨フ丨
乃	フノ
褊	衤户冂艹
昂	日ノフ卩
阂	门亠フノ人
谤	讠亠丷冖方
县	且厶
谣	讠ノ⺍缶
糨	米弓口虫
供	亻艹一八
埚	土口内
怙	忄十口
龚	龙艹一八
称	禾小
谠	讠冖口儿
祺	礻其上八
踞	尸十口
镝	钅亠丷冂十口
歧	止十又
玦	王夬guài
裥	衤门日
辛	立十
龛	人一口龙
裤	衤广车
裕	衤八人口
裣	衤人一⺍一
揿	扌钅人
跃	夭
卦	土土卜
痊	疒人王
趋	土丨一人彐
谟	讠艹日大
溃	氵中一冂人
盂	于皿
寐	宀爿未
沱	氵宀匕
窗	宀八ノ囗夂
窝	宀八口内
富	宀一口田
蛐	虫曲
唯	口亻亠
割	宀丰口刂
枚	木攵
愔	忄立日
锯	钅尸十口
讨	讠寸
箨	扌又一一丨
支	十又
卜	丨丶
欧	匚乂人
愎	忄ノ一日夂
苦	艹十口
进	辶井
愀	忄禾火
械	木戈廾
惴	忄山而
政	正攵
唿	口勿心
喊	口戌口
愦	忄中一冂人
丞	了フノㄟ一
淋	氵木木
愠	忄日皿
跋	又丶
练	纟一フフノ丶
暂	车斤日
惰	忄工月
仃	亻丁
慌	忄艹亡ノ丨フ
锿	钅亠口𧘇
趸	万口丨一人
蚂	虫马
卯	ノフノ卩
捯	扌一厶土刂
獯	犭ノ一丨フ丶ノ一丨一一灬
药	艹纟勺
湄	氵フ丨一ノ目
渥	氵尸一厶土
唱	口日日
渲	氵宀一日一
涞	氵来
镒	钅丷一八皿
痞	疒不口
衰	亠丨フ一一𧘇
湔	氵丷一月刂
游	氵方ノ一子
硚	石夭ノ丨
湾	氵亠丨丨ノ丶弓
下	一卜
渝	氵人一月刂
溆	氵人余下又
绺	纟夂卜口
湫	氵禾火
湃	氵一丰
弋	一フ丶
雉	矢亻亠
蛉	虫人丶
盉	禾皿
湍	氵山而
弊	丶ノ丨フ丨ノ丶攵廾
伊	亻尹
温	氵日皿
弃	亠厶廾
卿	ノフノ即左卩
湿	氵日业
艮	彐フノㄟ
湨	156
湝	氵比左匕白
湎	氵面
芷	艹止
犷	犭广
浓	氵农
锒	钅良
赓	广フ一一ノㄟ冂人
湮	氵西土
钝	钅屯
渣	氵木日一
牦	牛毛
泞	氵宀丁
咝	口丝
湘	氵木目
之	丶フㄟ
湖	氵十口月
滞	氵带上冖巾
抿	扌民
尸	フ一ノ
瘊	疒亻フ一矢
昊	日天
蜂	虫夂丰
鹈	丷フ一フ丨ノ鸟
焙	火立口
焜	火日比左匕
佃	亻田
献	十冂丷干犬
道	辶丷一自
匮	匚中一冂人
芮	艹内
驯	马川
烷	火宀二儿
铚	钅一厶土
涓	氵口月
痒	疒羊
奠	丷酉大
嗒	口艹人一口
尊	丷酉寸
粞	米西
翔	习习
阕	门フ丶ノノㄟ天
麋	广フ丨丨一比左匕米
贞	丨一冂人
崞	山亠口子
哚	口几木
庋	广十又
沔	氵丏
益	丷一八皿
蛊	虫皿
邕	フフフ口巴
诸	讠耂日
勿	勹ノノ
拿	人一口手
杉	木ノノノ
床	广木
蝉	虫丷丨フ一一一丨
较	车亠八乂
埂	土更
颏	亠フノ人一ノ冂人
牮	亻弋牛
侃	亻口ノ丨フ
啻	亠丷冖巾口
泛	氵乏
刷	尸巾刂
启	户口
爷	八乂卩
户	丶尸
瓿	立口瓦
舷	舟亠幺
童	立里
锝	钅日一寸
鄌	广フ一一丨口阝
痛	疒用
汞	工水
唝	口工冂人
咚	口夂丶丶
痧	疒氵少
滋	氵丷一幺幺
揍	扌寿上ㄟ天
蚊	虫文
绋	纟弗
霉	雨ノ一母
斌	文一弋止
介	人ノ丨
裒	亠臼𧘇
圉	囗土丷干
有	月
眉	フ丨一ノ目
蜉	虫ノ⺍子
媸	女フ丨丨一虫
垂	ノ一丨一丨丨一一
促	亻口丨一人
今	人丶フ
蛮	亠丨丨ノ丶虫
专	一一フ丶
洛	氵夂口
晒	日西
装	冫丨士亠𧘇
饰	饣ノ一巾
萎	艹禾女
馋	饣丨フ一ノフ丶丶
铝	钅口口
趾	止
祚	礻乍
馇	饣木日一
哝	口农
崛	山尸出
秧	禾央
蓝	艹丨丨ノ一丶皿
觞	用ノ一フノノ
飓	几乂具上八
坊	土方
猴	犭亻フ一矢
桂	木土土
承	フ丨一一一フノㄟ
猾	犭骨
豸	ノ丶丶ノフノノ
嗉	口幺小
上	丨一一
洇	氵囗大
猹	犭木日一
猢	犭十口月
踊	用
痉	疒フ丶工
渊	氵ノ米丨
乓	丘丶
鲃	鱼巴
憷	忄木木フ丨一人
冷	冫人丶
鲁	鱼日
猊	犭臼儿
鲀	鱼屯
鱿	鱼尤
薯	艹罒耂日
疯	疒几乂
腑	月广亻寸
脾	月ノ丨フ一一ノ十
蹓	156
腓	月非
斯	其上八斤
阒	门目犬
畦	田土土
涧	氵门日
厝	厂艹一日
厨	厂一口丷一寸
砂	石少
舜	ノ⺍冖夕一フ丨
郁	月阝
诞	讠亻一フ廴
禽	人亠乂凵丨フフ丶
贸	ノフ丶刀冂人
鹆	八人口鸟
番	ノ米田
靓	月冂见下
翕	人一口习习
驰	马也
琶	王王巴
库	广车
诺	讠艹口
弑	乂朩弋工
亓	二ノ丨
畲	人二小田
舒	人干口フ丨
艇	舟壬廴
艽	艹九
闯	门马
循	彳ノノ十目
绨	纟丷フ一フ丨ノ
培	土立口
嗯	口囗大心
旯	日九
盒	人一口皿
仨	亻三
街	彳土土亍
遁	辶ノノ十目
奥	ノ冂米大
皓	白口
泸	氵丨一尸
送	辶丷天
态	太心
遑	辶白王
例	亻歹刂
律	彳聿
藿	艹雨亻亠
闿	门山己
辋	车冂丷一亡
选	辶儿
焦	亻亠灬
傥	亻冖口儿
滓	氵宀立十
廓	广亠口子阝
仓	人フフ
姚	女儿冫ノ丶
傲	亻フノ攵
筝	フ一一丨
筋	月力
答	人一口
眯	目米
术	木丶
圯	土巳
筵	亻一フ廴
筏	亻戈
筅	儿
筒	冂一口
结	纟士口
吝	文口
策	一丨フ丨ノㄟ
紧	丨丨又幺小
洧	氵月
颂	八厶一ノ冂人
货	亻匕冂人
什	亻十
恁	亻壬心
筘	扌口
萑	艹亻亠
峒	山冂一口
等	土寸
垟	土羊
稂	禾良
稀	禾乂巾
程	禾口王
漓	氵亠乂凵丨フフ丶
缓	纟ノ⺍一又
具	具上八
青	月
颋	壬廴一ノ冂人
犊	牛十フ丶丶大
氯	气彐氺
毽	毛聿廴
畯	田厶八夂
轨	车九
镯	钅罒勹虫
毯	毛火火
毳	毛毛毛
氰	气月
矬	矢人人土
弓	フ一フ
奂	丨フ大
峧	山亠八乂
短	矢一口丷一
甥	生田力
菝	艹扌又丶
铑	钅耂匕
浸	氵彐冖又
畿	幺幺戈田
桊	木
哑	口亚
谒	讠日勹人フ
萜	艹巾丨一口
锐	钅丷口儿
骰	骨几又
锊	钅ノ⺍寸
锉	钅人人土
希	乂巾
锆	钅口
咯	口夂口
葶	艹亠口冖丁
拷	扌耂一フ
氨	气宀女
钯	钅巴
蒯	艹月月刂
啾	口禾火
哀	亠口𧘇
铼	钅来
铻	钅五口
铸	钅寿上寸
黑	丨フ丶ノ一丨一一灬
当	彐
体	亻本
丸	ノフ丶
鲧	鱼ノ幺小
芝	艹之
咿	口亻尹
沧	氵人フフ
呦	口幺力
赐	冂人日勿
嵋	山フ丨一ノ目
嵫	山丷一幺幺
栊	木龙
嵝	山米女
嵯	山工
蒿	艹亠口冂口
崽	山田心
抟	扌专
钿	钅田
输	车人一月刂
寨	宀一一丨丨一八朩
柒	氵七木
幅	巾一口田
诨	讠冖车
囚	囗人
嵘	山艹冖木
瓯	匚乂瓦
嵌	山甘人
喙	口フフ豕
喔	口尸一厶土
掊	扌立口
喧	口宀一日一
埒	土ノ⺍寸
嗞	口丷一幺幺
喽	口米女
钦	钅人
观	又冂见下
牝	牛匕
愁	禾火心
咦	口夷
鸳	夕フフ鸟
晦	日ノ一母
喻	口人一月刂
卑	ノ丨フ一一ノ十
脉	月永
婳	女一田凵
喤	口白王
铿	钅丨丨又土
荑	艹夷
岷	山民
殒	歹口冂人
鞒	革夭ノ丨
谷	八人口
瞒	目艹两
喟	口田月
廛	广里八土
喝	口日勹人フ
绛	纟夂一フ丨
敞	冂口攵
黛	亻弋黑
蛘	虫羊
蛟	虫亠八乂
纨	纟丸
垒	厶厶厶土
刃	刀丶
亨	亠口了
蛤	虫人一口
茝	艹匚丨口丨
猝	犭亠人人十
概	木即左一フノフ
如	女口
瘿	疒冂人冂人女
沸	氵弗
挝	扌寸辶
尧	一フノ兀
蛔	虫囗口
寒	宀一一丨丨一八丶丶
阿	阝丁口
酉	西一
茑	艹鸟
蛭	虫一厶土
挑	扌儿冫ノ丶
光	兀
邑	口巴
蛙	虫土土
倥	亻宀八工
跛	フノ丨又
汨	氵日
睚	目厂土土
伛	亻匚乂
坚	丨丨又土
跚	册
跞	乐
跗	亻寸
跌	失
跖	石
达	辶大
身	ノ丨フ一一一ノ
可	丁口
琦	王大丁口
诧	讠宀ノ七
幸	土丷干
晾	日亠口小
怜	忄人丶
喹	口大土土
否	不口
搦	扌弓冫弓冫
喳	口木日一
喋	口世木
炉	火户
肉	内人
叶	口十
悉	ノ米心
喷	口十艹冂人
揶	扌耳阝
鼎	目フ一ノ丨一丨フ
很	彳艮
踶	日一丨一人
陵	阝土八夂
砮	女又石
拤	扌上卜
铯	钅巴
濯	氵习习亻亠
妮	女尸匕
俯	亻广亻寸
赏	冖口冂人
棠	冖口木
喁	口禺
胍	月瓜
斐	非文
赂	冂人夂口
枉	木王
忿	八刀心
辈	非车
翘	一フノ兀习习
辎	车フフフ田
辍	车又又又又
栾	亠丨丨ノ丶木
砾	石乐
姞	女士口
侧	亻冂人刂
辌	车亠口小
椠	车斤木
辊	车日比左匕
玑	王几
睦	目土八土
憝	156
裂	歹刂亠𧘇
余	人余下
坫	土丨一口
跶	大辶
蟮	虫羊丷一口
矮	矢禾女
硝	石月
硬	石更
鲂	鱼方
貂	豸刀口
瑁	王冂一一目
沂	氵斤
鹂	丽鸟
酦	酉フノ又丶
淞	氵木八厶
酤	酉十口
徊	彳囗口
骒	马果
羊	丷一一一丨
桉	木宀女
扑	扌卜
剑	人一⺍一刂
矾	石凡
粟	西米
覃	西日十
垦	艮土
惑	戈口一心
鹁	十冖子鸟
轧	车フ
酝	酉二厶
慝	匚艹口心
稞	禾果
棣	木フ一一丨冫ノㄟ
闵	门文
溶	氵宀八人口
纶	纟人匕
棬	木フフ
椁	木亠口子
棚	木月月
椑	木ノ丨フ一一ノ十
萁	艹其上八
鳂	鱼田一フノㄟ
搁	扌门夂口
椎	木亻亠
难	又亻亠
庶	广廿灬
棍	木日比左匕
棹	木丨一日十
俊	亻厶八夂
堉	土亠厶月
栉	木艹卩
砉	丰石
岂	山己
我	ノ一丨一フノ丶
椒	木上小又
椅	木大丁口
亮	亠口冖几
园	囗二儿
弧	弓瓜
伧	亻人フフ
神	礻申
楞	木罒方
焚	木木火
襞	尸口立十亠𧘇
阵	阝车
蹶	厂丷一フ丨ノ人
瘵	疒ノフ丶丶二小
昵	日尸匕
椰	木耳阝
涨	氵弓长
棒	木寿上ㄟ一一丨
沌	氵屯
葭	艹フ一丨一一フ一又
朝	十日十月
铁	钅失
谂	讠人丶フ心
并	丷开
狉	犭丕
拉	扌立
勉	丨フ一ノフ力
苑	艹夕フフ
韩	十日十韦
虾	虫下
百	一白
葖	艹宀八犬
峂	山夂丶丶
亿	亻フ
肱	月厶
圭	土土
葱	艹匆心
眭	目土土
札	木フ
朦	月艹冖二ノフノノノㄟ
继	纟米フ
董	艹重
黧	禾勹ノ黑
萼	艹口口亏
遭	辶一丨フ一丨丨一日
卵	ノフ丶ノ卩丶
灭	一火
葛	艹日勹人フ
张	弓长
克	十口儿
惹	艹口心
求	一丨冫ノ丶ㄟ丶
璁	王ノ囗夂心
靸	革及
靰	革兀
葫	艹十口月
央	丨夬guài
鬶	夫冂见下一口冂丷一丨
抉	扌夬guài
葑	艹土土寸
芑	艹己
驴	马户
念	人丶フ心
搔	扌叉虫
摒	扌尸丷开
品	口口口
邝	广阝
肝	月干
炝	火人フフ
悝	忄里
座	广人人土
产	立ノ
恽	忄冖车
握	扌尸一厶土
揎	156
搅	扌⺍冖冂见下
肭	月内
炭	山火
悭	忄丨丨又土
搂	扌米女
搓	扌工
揞	156
裁	十戈亠𧘇
塆	土亠丨丨ノ丶弓
骊	马丽
搀	扌丨フ一ノフ丶丶
匝	匚巾
捉	扌口丨一人
卉	十廾
草	艹日十
堠	土亻フ一矢
搜	扌ノ丨一フ一一丨又
慑	忄耳又又
兑	丷口儿
插	扌千臼
塄	土罒方
揣	扌山而
馒	饣日罒又
层	尸二厶
礞	石艹冖二ノフノノノㄟ
邽	土土阝
肽	月太
恝	丰刀心
颉	士口一ノ冂人
揾	扌曰皿
博	十甫寸
堤	土日一丨一人
家	宀豕
萸	艹臾
莰	艹土人
超	土丨一人刀口
垮	土大亏
勒	革力
猁	犭禾刂
软	车人
叔	上小又
揩	扌比左匕白
揸	扌木日一
佯	亻羊
塃	156
按	扌宀女
沟	氵勹厶
讶	讠牙
塔	土艹人一口
秒	禾少
使	亻吏
姒	女フ丶人
捞	扌艹冖力
阉	门大电
轿	车夭ノ丨
齿	止人凵
殂	歹且
帧	巾丨一冂人
款	士二小人
痦	疒五口
揳	扌丰刀大
鼋	二儿口电
丧	十丷一フノㄟ
罘	罒不
琬	王宀夕フフ
逭	辶宀㠯
琯	王宀㠯
崖	山厂土土
菁	艹月
倭	亻禾女
蝮	虫ノ一日夂
羯	日勹人フ
釉	ノ米由
琨	王日比左匕
侯	亻フ一矢
樊	木乂乂木大
琪	王其上八
挠	扌一フノ兀
茵	艹囗大
画	一田凵
凑	冫寿上ㄟ天
琫	王寿上ㄟ一一丨
缁	纟フフフ田
便	亻更
郝	土ノ丨ノ丶阝
松	木八厶
缀	纟又又又又
耽	耳丶フノフ
巧	工一フ
持	扌土寸
烝	了フノㄟ一灬
胝	月氐
息	自心
绾	纟宀㠯
绽	纟宀一丨一人
绻	纟フフ
六	亠八
也	フ丨フ
忧	忄尤
湟	氵白王
绸	纟冂土口
绷	纟月月
魂	二厶鬼
绳	纟口电
绲	纟日比左匕
绰	纟丨一日十
芰	艹十又
冬	夂丶丶
骑	马大丁口
续	纟十フ丶丶大
遥	辶ノ⺍缶
腭	月口口亏
颈	フ丶工一ノ冂人
纸	纟氏
脍	月人二厶
永	丶フフノㄟ
膑	月宀丘八
醑	酉フ丨一人月
婵	女丷丨フ一一一丨
婚	女氏日
樾	木土丨一人戈フ
喉	口亻フ一矢
婞	女土丷干
叁	厶大三
迷	辶米
鹊	艹一日鸟
訾	止匕亠一一口
酽	酉严
亟	了口又一
隗	阝鬼
骂	口口马
废	广フノ又丶
粜	出米
隈	阝田一フノㄟ
随	阝月辶
隋	阝工月
屠	尸耂日
尉	尸二小寸
敢	フ耳攵
逐	辶豕
耐	而寸
癞	疒束冂人
桑	又又又木
韦	一一フ丨
谝	讠户冂艹
谚	讠产ノノノ
谗	讠丨フ一ノフ丶丶
谕	讠人一月刂
祷	礻寿上寸
渔	氵鱼
洼	氵土土
袱	衤亻犬
秾	禾农
裆	衤彐
矶	石几
啉	口木木
邵	刀口阝
屎	尸米
陉	阝フ丶工
越	土丨一人戈フ
惭	忄车斤
热	扌丸灬
胭	月囗大
仟	亻千
谏	讠柬
谍	讠世木
谌	讠其上八フ
窑	宀八缶
窒	宀八一厶土
宿	宀亻百
遐	辶フ一丨一一フ一又
寄	宀大丁口
砑	石牙
寅	宀一由八
统	纟亠厶儿
恐	工凡心
寇	宀二儿丨一又
惯	忄フフノ一冂人
惮	忄丷丨フ一一一丨
悄	忄月
惦	忄广丨一口
惇	忄亠口子
惚	忄勿心
惟	忄亻亠
烽	火夂丰
能	厶月匕匕
都	耂日阝
嘉	士口丷一力口
牁	爿丁口
扁	户冂艹
剁	几木刂
梾	木来
急	彐心
回	囗口
伟	亻韦
衮	亠八厶𧘇
惧	忄具上八
惝	忄冂口
悼	忄丨一日十
惜	忄艹一日
爻	乂乂
飑	几乂勹巳
情	忄月
去	土厶
狴	犭比左匕土
壑	丨一冖一八人口又土
蛞	虫千口
缟	纟亠口冂口
淬	氵亠人人十
邈	辶豸白儿
裉	衤艮
磉	石又又又木
棉	木白巾
傈	亻西木
淮	氵亻亠
妒	女户
衾	人丶フ亠𧘇
怵	忄术
涸	氵囗十口
顾	厂フフ一ノ冂人
混	氵日比左匕
淏	氵日天
顶	丁一ノ冂人
耵	耳丁
镵	钅口比左匕丨フ一ノフ丶
渐	氵车斤
渠	氵巨木
冰	冫水
扭	扌丑
垞	土宀ノ七
枞	木人人
贶	冂人口儿
郐	人二厶阝
酥	酉禾
冗	冖几
悟	忄五口
纥	纟乞
淇	氵其上八
碑	石ノ丨フ一一ノ十
倡	亻日日
郈	ノノ一口阝
渍	氵冂人
烈	歹刂灬
清	氵月
墉	土广フ一一丨フ一一丨
娥	女我
玷	王丨一口
酗	酉乂凵
炎	火火
纹	纟文
剃	丷フ一フ丨ノ刂
焕	火丨フ大
烯	火乂巾
焊	火日干
狁	犭厶儿
挪	扌フ一一ノ阝
敝	丶ノ丨フ丨ノ丶攵
兽	丷田一口
剪	丷一月刂刀
断	米フ斤
坞	土乌
喵	口艹田
劭	刀口力
杞	木己
龟	丨フ一一フ
辒	车日皿
睑	目人一⺍一
村	木寸
君	尹口
鸥	匚乂鸟
夜	亠亻ノフ丶ㄟ
粘	米丨一口
粝	米厂万
祉	礻止
迩	辶小
妨	女方
盖	皿
羟	フ丶工
愈	人一月刂心
奉	寿上ㄟ一一丨
羚	人丶
戋	一一フノ丶
着	目
岗	山冂乂
迈	辶万
劁	亻亠灬刂
秘	禾必
犁	禾刂牛
祀	礻巳
工	一丨一
凭	亻壬几
卷	フフ
汰	氵太
翟	习习亻亠
俟	亻厶矢
堞	土世木
胁	月办
阇	门耂日
迟	辶尺
脞	月人人土
袤	亠フ丨ノ𧘇
臭	自犬
望	亡月王
啵	口氵フノ丨又
喏	口艹口
腈	月月
佬	亻耂匕
商	亠丷冂八口
坑	土亠几
翊	立习习
先	儿
慈	丷一幺幺心
章	立日十
妾	立女
鹿	广フ丨丨一比左匕
禾	ノ木
茼	艹冂一口
馀	156
赧	土ノ丨ノ丶卩又
廊	广丶即左阝
肇	户攵聿
巨	匚フ一
楮	木耂日
刭	フ丶工刂
赶	土丨一人干
柞	木乍
疵	疒止匕
社	礻土
缒	纟ノ㠯辶
柑	木甘
鼒	才目フ一ノ丨一丨フ
蟑	虫立日十
砜	石几乂
违	辶韦
庾	广臾
饮	饣人
仰	亻ノフ卩
测	氵冂人刂
烹	亠口了灬
孰	亠口子丸
毫	亠口冖毛
忒	弋心
怿	忄又一一丨
弥	弓小
刽	人二厶刂
馆	饣宀㠯
爽	大乂乂乂乂
戽	户丶丶十
馃	饣果
殴	匚乂几又
遇	辶禺
胴	月冂一口
钞	钅少
怯	忄土厶
莉	艹禾刂
猕	犭弓小
宽	宀艹冂见下
江	氵工
璞	王业ㄟ
讴	讠匚乂
斛	用丶丶十
瞑	目冖日亠八
凰	几白王
鞑	革大辶
猫	犭艹田
逢	辶夂丰
栓	木人王
猜	犭月
逸	辶丨フ一ノフ丶
够	勹口夕夕
灸	久火
鱾	鱼己
枷	木力口
匐	勹一口田
倚	亻大丁口
师	丨ノ一巾
妁	女勺
卮	ノノ一フフ
讯	讠フ十
要	西女
珉	王民
揉	扌フ丨ノ木
叉	又丶
压	厂十一丶
埘	土日寸
鲟	鱼彐寸
脶	月口内
豚	月豕
报	扌卩又
孽	艹ノ㠯立十子
芥	艹人ノ丨
秦	寿上ㄟ禾
掩	扌大电
砻	龙石
失	ノ夫
彩	ノ⺍木ノノノ
打	扌丁
么	ノ厶
瓻	乂巾瓦
升	ノ廾
卫	卩一
鸽	人一口鸟
饿	饣我
斜	人余下丶丶十
坷	土丁口
杷	木巴
厉	厂万
归	丨ノ彐
莼	艹纟屯
掮	扌户月
玮	王韦
旅	方ノ一ノフノㄟ
退	辶艮
玉	王丶
硁	石フ丶工
届	尸由
诊	讠人ノノノ
换	扌丨フ大
锞	钅果
唳	口户犬
阑	门柬
盘	舟皿
拭	扌弋工
狭	犭夹
罢	罒土厶
舸	舟丁口
衔	彳钅亍
得	彳日一寸
徘	彳非
切	七刀
鸻	彳亍鸟
恹	忄厂犬
蜷	虫フフ
眷	目
纰	纟比左匕
假	亻フ一丨一一フ一又
兜	白ノフフ一儿
袂	衤夬guài
躯	身匚乂
偻	亻米女
哮	口耂子
停	亻亠口冖丁
互	一フフ一
知	矢口
拼	扌丷开
贯	フフノ一冂人
瓮	八厶瓦
码	石马
砘	石屯
偷	亻人一月刂
偲	亻田心
铞	钅口巾
负	冂人
监	丨丨ノ一丶皿
戥	日生戈
哞	口厶牛
