的	白勹丶󰁶
觜	止匕⺈丨
磋	石䒑󰀠工
馅	⺈󰁐⺈臼
踌	口止三寸
澎	氵士口彡
蛹	虫󰁻月丨
伫	亻宀一󰀝
奚	爫ㄠ大󰁧
岑	山人丶乛
缭	纟大丷小
谟	讠艹日大
髡	󰀍厶彡儿
伯	亻白󰀝
瞄	目艹田󰀝
钛	钅大丶󰁶
陇	阝ヒ丶
轲	车丁口󰀝
羧	䒑󰀠厶夂
疤	疒巴󰁫
苔	艹厶口󰀘
嘟	口土丿阝
铰	钅亠八乂
卣	󰀥冂󰁃一
惺	忄日丿主
讷	讠冂人󰁶
辗	车尸󰁺󰀖
茉	艹一木󰁧
徭	彳爫󰅎山
妾	立女󰀘
隧	阝䒑󰀓辶
弈	亠󰁖廾󰀬
惋	忄宀夕⺋
荃	艹人王󰀘
褶	衤󰁧羽白
蜿	虫宀夕⺋
痪	疒⺈ㄇ大
哮	口土丿子
呃	口厂⺋󰁀
怡	忄厶口󰀝
遁	⺁十目辶
悸	忄禾子󰀝
俟	亻厶𠂉大
锂	钅日土󰀝
蚵	虫丁口󰀝
祷	礻󰁶三寸
芭	艹巴󰀅
犀	尸氺丿󰀟
恤	忄丿皿󰀝
沣	氵三丨󰀢
窦	宀八十大
篝	⺮󰀀冂土
埂	土一日乂
巅	山十󰀣贝
蔼	艹讠日󰄃
轵	车口八󰁶
钴	钅古󰀝
帚	彐冖冂丨
蕃	艹丿米田
斛	⺈月丨十
耘	三󰅇二厶
嬷	女广木厶
甥	丿主田力
荸	艹十冖子
酋	丷西一󰀘
叨	口刀ノ
猿	犭ノ土󰀔
馨	士󰁅几日
铐	钅土丿ㄅ
瑶	王爫󰅎山
祆	礻󰁶一大
锑	钅丷弓丿
蜗	虫口冂人
刭	ス工刂󰀢
葆	艹亻口木
弼	弓丆日弓
缤	纟宀󰅍八
瘠	疒󰀪人月
曳	日󰅅󰀏
屹	山𠂉乙󰁀
戍	厂丶󰅅丶
茁	艹凵山󰀬
毓	𠂉母亠󰀸
楦	木宀一一
锲	钅三丨大
谍	讠廿󰄃木
燎	火大丷小
捅	扌󰁻月丨
苷	艹艹二󰀘
茴	艹囗口󰀘
蛟	虫亠八乂
臆	月立日心
匕	匕丿乚
徊	彳囗口󰀝
毗	田󰁴匕󰁀
淇	氵艹三八
檄	木白方夂
懋	木󰁻乛心
荀	艹勹日󰀘
噜	口󰁢一日
梓	木立十󰀢
贽	扌九丶贝
蠡	󰅂一󰀓虫
漱	氵一口人
迦	力口辶󰀌
懊	忄丿ㄇ大
愕	忄口口ㄅ
帛	白冂丨󰀬
咙	口ヒ丶
渝	氵人一刂
卅	一川󰀵
啪	口扌白󰀝
炙	󰁝火󰁧
睾	丿罒土十
诋	讠󰁚󰀁丶
桢	木󰀥贝󰁶
贻	贝厶口󰀝
褙	衤󰁧丬月
鲂	󰁢󰀞方ノ
碲	石亠丷丨
菇	艹女古󰀘
俏	亻⺌月󰀝
闰	门王󰀌
萃	艹亠人十
嗳	口爫冖又
嫡	女亠丷古
劓	丿目田刂
俾	亻白丿十
菡	艹了󰀪凵
惴	忄山丆〢
遽	󰅋七一辶
锚	钅艹田󰀝
伽	亻力口󰀝
坳	土ㄠ力ノ
渲	氵宀一一
铛	钅⺌彐󰀝
囤	囗一凵乚
涸	氵囗古󰀝
潇	氵艹󰁬󰀯
晖	日冖车󰀢
吠	口大丶󰁶
莹	艹冖王丶
灏	氵日亠贝
捡	扌人一一
磊	石石石󰀘
糜	广木木米
掇	扌又又又
擎	艹勹口手
戟	十日十戈
黯	󰀹土灬日
哆	口夕夕󰁶
醚	西一米辶
箍	⺮扌匚丨
嗒	口艹人口
悒	忄口巴󰁀
锹	钅禾火󰁶
袒	衤󰁧日一
踊	口止󰁻丨
啧	口主贝󰁶
砝	石土厶󰁶
呛	口人⺋󰁀
躇	口止艹日
吮	口厶儿󰁀
眩	目亠ㄠ󰁶
檬	木艹冖󰀓
铣	钅丿土儿
茗	艹夕口󰀘
腑	月广亻寸
绫	纟土八夂
褒	亠亻口󰀔
畿	ㄠㄠ戈田
倪	亻臼儿󰁀
铮	钅⺈󰁬亅
矽	石夕󰁶
踉	口止丶󰀖
筏	⺮亻戈󰁧
剃	丷弓丨刂
坂	土⺁又󰁶
蜇	扌斤虫󰁧
髦	󰀍厶彡乚
绎	纟又󰀟󰀢
隅	阝日冂丶
攒	扌丿土贝
甭	丆卜月丨
孽	艹亻󰁃子
蜒	虫丿止廴
狩	犭ノ宀寸
虔	󰅋七文󰀦
嘹	口大丷小
辎	车巛田󰀝
卯	󰁚丿卩󰀢
祚	礻󰁶𠂉二
翟	羽亻󰁷󰀘
瞥	丷冂󰅏目
芸	艹二厶󰁧
沐	氵木󰁶
黍	禾人氺󰁧
赘	主󰁡夂贝
匝	匚冂丨󰀵
皑	白山己󰁀
瘪	疒丿目匕
憨	乛耳夂心
咆	口勹巳󰁀
驭	󰀊󰀞又󰁶
蒿	艹亠口口
蝈	虫囗王丶
刽	人二厶刂
骸	󰀾月亠人
唠	口艹冖力
黩	󰀹土灬大
舀	爫臼󰀘
黝	󰀹土灬力
瘟	疒日皿󰀌
瑙	王巛丿乂
咔	口󰀥一卜
鬓	󰀍厶彡八
斡	十日十十
诣	讠匕日󰀝
怠	厶口心󰁧
撵	扌二人车
濂	氵广䒑󰁗
妞	女󰁈丨二
眈	目冖󰁜󰁀
匡	匚王󰀌
啮	口止人凵
泞	氵宀丁󰀢
肄	匕𠂉大󰀟
钜	钅匚󰁃󰀝
锏	钅门日󰀝
仕	亻士󰀝
荼	艹人一木
桧	木人二厶
矗	十󰀣十󰀣
唬	口󰅋七几
伶	亻人丶󰁻
萤	艹冖虫󰁧
仝	人工󰀘
懦	忄󰀙丆〢
怅	忄丿七󰂃
盔	火皿󰀘
芙	艹二人󰁧
舐	丿古󰁚弋
蹂	口止󰁻木
惦	忄广󰀥口
匾	匚丶尸艹
霹	󰀙尸口十
腋	月亠亻丶
阡	阝丿十󰀢
瓢	覀二小󰂃
羹	丷王灬大
掐	扌⺈臼󰀝
佯	亻䒑󰀟󰀢
盅	口丨皿󰀘
恸	忄二厶力
骼	󰀾月夂口
盎	ㄇ大皿󰀘
壬	丿士󰀌
侉	亻大二ㄅ
噗	口󰅊一人
猥	犭ノ田󰀖
芥	艹人󰀯󰀬
帧	冂丨󰀥贝
赍	十人人贝
溺	氵弓冫冫
砰	石一丷十
诙	讠火󰁶
逍	⺌月辶󰀌
笠	⺮立󰀘
酉	西一󰀌
沅	氵二儿󰁀
榄	木〢𠂉󰁜
瓯	匚乂一丶
髫	󰀍厶彡口
阑	门一󰀹󰅇
橄	木乛耳夂
焓	火人丶口
蘑	艹广木石
柠	木宀丁󰀢
炻	火石󰀝
铂	钅白󰀝
淞	氵木八厶
瀚	氵十日羽
氩	󰅎⺄一一
觥	⺈月丨儿
脓	月冖󰀔󰁶
缮	纟䒑󰀟口
舔	丿古一⺗
阉	门大日乚
拽	扌日󰅅ノ
憧	忄立日土
钲	钅一止󰀝
肮	月亠几󰁀
恬	忄丿古󰀝
蟆	虫艹日大
疵	疒止匕󰁫
篓	⺮米女󰀘
漾	氵丷王󰀩
纂	⺮目大小
箐	⺮主月󰀘
跺	口止几木
裴	丨三丨󰀔
挞	扌大辶󰁶
憬	忄日亠小
亢	亠几󰀅
懿	士冖一心
侥	亻弋丿儿
噬	口⺮工人
峒	山冂一口
饪	⺈󰁐丿士
荚	艹一丷大
藕	艹三󰅇丶
韭	丨三丨一
镣	钅大丷小
恿	󰁻月丨心
兀	一儿󰁫
噫	口立日心
恺	忄山己󰁀
寰	宀罒一󰀔
幺	ㄠㄠㄠㄠ
霆	󰀙丿士廴
碴	石木日一
藐	艹豸白儿
酣	西一艹二
榷	木冖亻󰁷
弁	厶廾󰀬
翡	丨三丨羽
桅	木⺈厂⺋
掷	扌䒑大阝
诒	讠厶口󰀝
璞	王󰅊一人
瘀	疒方人󰁦
擂	扌󰀙田󰀝
窿	宀八阝主
鳃	󰁢󰀞田心
掖	扌亠亻丶
觊	山󰁁ㄇ󰁜
箔	⺮氵白󰀘
睫	目一󰁬󰁾
冗	冖几󰀅
崛	山尸凵山
熨	尸二小火
睬	目爫木󰁶
镐	钅亠口口
堑	车斤土󰀘
亘	一日一󰀘
卦	土土卜󰁶
踯	口止䒑阝
佬	亻土丿匕
撂	扌田夂口
嗵	口󰁻月辶
贳	廿󰄃贝󰁧
煊	火宀一一
铎	钅又󰀟󰀢
痞	疒丆卜口
酗	西一乂凵
稷	禾田八夂
甬	󰁻月丨󰀬
捺	扌大二小
咄	口凵山󰀢
漩	氵方𠂉󰁾
晏	日宀女󰀘
氚	󰅎⺄川󰀬
瘤	疒󰁚丶田
砚	石ㄇ󰁜󰁀
赭	土󰁖土日
鹊	󰁺日勹一
阪	阝⺁又󰁶
绛	纟夂󰀂丨
诲	讠𠂉母󰁶
匍	勹一月丶
喽	口米女󰀝
砩	石弓󰀯󰀢
簦	⺮癶一䒑
臃	月亠󰁲󰁷
佘	人二小󰁧
诨	讠冖车󰀢
粽	米宀二小
蓟	艹󰁢󰀞刂
郦	一冂丶阝
漉	氵广󰁃匕
橘	木󰁻乛口
粼	米夕󰀂巜
惫	夂田心󰁧
淄	氵巛田󰀝
瑜	王人一刂
咎	夂卜口󰀘
搔	扌又丶虫
弛	弓也󰁀
涣	氵⺈ㄇ大
痰	疒火火󰀦
浏	氵文刂󰀢
溥	氵一月寸
鸨	匕十勹一
酐	西一干󰀢
郛	爫孑阝󰀢
塾	亠口孑土
踵	口止丿土
狞	犭ノ宀丁
陂	阝󰅌又󰁶
蓿	艹宀亻日
麝	广󰁃〢寸
瞩	目尸丿丶
邳	丆卜󰀞阝
淅	氵木斤󰀢
驸	󰀊󰀞亻寸
晟	日厂𠃌丶
聆	耳人丶󰁻
悯	忄门文󰁶
偾	亻十艹贝
拮	扌士口󰀝
癣	疒󰁢󰀞󰀟
暹	日亻󰁷辶
胫	月ス工󰀝
榔	木丶彐阝
酪	西一夂口
俐	亻禾刂󰀢
纭	纟二厶󰁶
轭	车厂⺋󰁀
耄	土丿匕乚
漕	氵一ㄇ日
锷	钅口口ㄅ
鳔	󰁢󰀞覀小
笆	⺮巴󰀅
狸	犭ノ日土
墅	日土󰁻土
巳	巳󰁈一乚
唁	口言󰀝
蓦	艹日大一
蒺	艹疒𠂉大
蔸	艹白󰁚儿
饬	⺈󰁐𠂉力
暨	彐厶󰀂一
瘁	疒亠人十
灸	ク󰂃火󰁧
缨	纟贝贝女
剡	火火刂󰀢
杈	木又丶󰁶
椎	木亻󰁷󰀝
刍	⺈彐󰀘
嵊	山禾丬匕
衢	彳目目丁
镯	钅罒勹虫
坞	土勹ㄅ一
缢	纟䒑八皿
氘	󰅎⺄󰀯󰀬
炖	火一凵乚
坷	土丁口󰀝
姥	女土丿匕
摹	艹日大手
霓	󰀙臼儿󰀅
抡	扌人匕󰁀
旖	方𠂉大口
砺	石厂一󰁡
翎	人丶󰁻羽
麂	广󰁃〢几
轹	车丿󰄃小
蹑	口止耳又
萦	艹冖ㄠ小
馍	⺈󰁐艹大
缰	纟一田一
鸠	九勹丶一
蟒	虫艹大廾
糯	米󰀙丆〢
趴	口止八󰁶
峪	山八人口
猬	犭ノ田月
娄	米女󰀘
芊	艹丿十󰀬
杞	木己󰁀
燧	火䒑󰀓辶
霏	󰀙丨三三
蚌	虫三丨󰀢
讹	讠亻ヒ󰁀
怂	人人心󰁧
夔	䒑丿目夂
奂	⺈ㄇ大󰁧
徨	彳白王󰀝
阏	门方人󰁦
彗	三丨三彐
耆	土丿匕日
曦	日丷王丶
迢	刀口辶󰀌
俨	亻一󰅊厂
惘	忄冂䒑󰄃
姗	女󰀼󰀼一
峨	山丿扌丶
皋	白大十󰀬
鬃	󰀍厶彡小
谛	讠亠丷丨
燮	言火火又
寐	宀󰄃丨󰅇
涫	氵宀丨󰁃
栉	木艹ㄗ󰀢
靼	廿口十一
叼	口𠃌󰀞󰀝
篙	⺮亠口口
蝗	虫白王󰀝
掳	扌󰅋七力
菁	艹主月󰀘
榻	木日羽󰀝
滕	月䒑大氺
皎	白亠八乂
蚓	虫弓丨󰀢
蝉	虫丷󰅐󰀢
挎	扌大二ㄅ
脐	月文󰀯󰀢
偕	亻󰁴匕白
兮	八一ㄅ󰀅
杷	木巴󰁀
袅	勹丶ㄅ󰀔
黜	󰀹土灬山
黥	󰀹土灬小
瘾	疒阝⺈心
蓑	艹亠口󰀔
厮	厂艹三斤
苄	艹亠卜󰁧
拗	扌ㄠ力ノ
挢	扌丿大󰀯
哽	口一日乂
嘁	口厂󰀥丶
狍	犭ノ勹巳
饽	⺈󰁐十子
昶	丶𠃌󰀩日
镓	钅宀一󰀓
沽	氵古󰀝
驹	󰀊󰀞勹口
潍	氵纟亻󰁷
捋	扌爫寸󰁶
哧	口土󰁖󰁶
淙	氵宀二小
枇	木󰁴匕󰁀
懑	氵艹一心
靳	廿口十斤
囡	囗女󰀌
蜚	丨三丨虫
瞟	目覀二小
噎	口士冖䒑
烨	火亻ヒ十
覃	覀日十󰀬
蚣	虫八厶󰁶
鲢	󰁢󰀞车辶
羌	䒑二󰁜󰀅
茹	艹女口󰀘
赡	贝⺈厂言
锨	钅斤⺈人
讪	讠山󰀢
枸	木勹口󰀝
貉	豸夂口󰀝
辙	车亠厶夂
咝	口󰁲󰁲一
坍	土󰀼亠󰀝
扈	丶尸口巴
焙	火立口󰀝
蛾	虫丿扌丶
鲸	󰁢󰀞亠小
倌	亻宀丨󰁃
秫	禾木丶󰁶
癞	疒一口贝
钒	钅几丶󰁶
馁	⺈󰁐爫女
瓮	八厶一丶
擀	扌十日干
瞌	目土厶皿
笞	⺮厶口󰀘
舵	丿󰁪宀匕
咦	口一弓人
夯	大力󰁣
儆	亻艹勹夂
屐	尸彳十又
犊	牜十乛大
琶	王王巴󰀅
栀	木⺁一⺋
箫	⺮󰁬󰅏󰀯
觞	⺈月丨󰁤
骋	󰀊󰀞由ㄅ
擞	扌米女夂
炫	火亠ㄠ󰁶
惮	忄丷󰅐󰀢
涟	氵车辶󰁶
峦	亠󰁗山󰀬
磐	丿󰁪几石
腆	月ㄇ󰁺八
俸	亻三人󰀟
溧	氵覀木󰁶
鸥	匚乂勹一
攸	亻丨夂󰁶
悚	忄一口󰅇
韬	二𠃌丨臼
於	方人󰁦󰁶
衽	衤󰁧丿士
褚	衤󰁧土日
鲫	󰁢󰀞彐卩
琵	王王󰁴匕
砷	石日丨󰀢
亵	亠扌九󰀔
怦	忄一丷十
湄	氵󰁅目󰀝
铆	钅󰁚丿卩
镊	钅耳又又
莺	艹冖勹一
揍	扌三人大
膺	广亻亻月
邃	宀八䒑辶
筠	⺮土勹冫
雳	󰀙厂力󰁣
郴	木木阝󰀢
嬴	亠󰄃口丶
颀	斤丆贝󰁶
遐	󰁃丨二辶
鲥	󰁢󰀞日寸
鼾	丿目田干
氖	󰅎⺄乃󰁣
揖	扌口耳󰀝
鄱	丿米田阝
蘩	艹𠂉母小
缪	纟羽人彡
蜷	虫䒑大⺋
靛	主月宀󰁾
蝙	虫丶尸艹
豺	豸󰀛丿ノ
桓	木一日一
惚	忄勹󰁤心
悻	忄土䒑十
娼	女日日󰀝
滁	氵阝人木
涎	氵丿止廴
咛	口宀丁󰀢
唢	口⺌贝󰁶
媛	女爫一又
馥	禾日𠂉夂
厩	厂彐厶󰁜
佚	亻󰅎人󰁶
圪	土𠂉乙󰁀
翦	䒑月刂羽
倩	亻主月󰀝
冽	冫一夕刂
嗤	口凵丨虫
敕	一口󰅇夂
牍	丿丨一大
嵇	禾乚山
阂	门亠ㄥ人
镭	钅󰀙田󰀝
荥	艹冖水󰁧
咫	尸󰂃口八
纨	纟九丶󰁶
掰	八刀手
沱	氵宀匕󰁀
榈	木门口口
槟	木宀󰅍八
抿	扌󰁃󰁐弋
锗	钅土丿日
侃	亻口󰀸󰁀
呗	口贝󰁶
蜈	虫口一大
疚	疒ク󰂃󰀦
抠	扌匚乂󰁶
芍	艹勹丶󰁧
蜘	虫𠂉大口
赝	厂亻亻贝
祗	礻󰁶󰁚丶
禧	礻󰁶士口
皓	白丿土口
醴	西一ㄇ䒑
鞅	廿口十大
黛	亻󰀁丶灬
桀	夕󰀂丨木
钎	钅丿十󰀢
涞	氵一米󰁶
娑	氵小丿女
膘	月覀二小
蛊	虫皿󰀘
摒	扌尸䒑廾
忸	忄󰁈丨二
纣	纟寸󰁶
篾	⺮罒厂丶
馋	⺈󰁐⺈󰁦
痊	疒人王󰀌
嗟	口䒑󰀠工
涓	氵口月󰀝
挹	扌口巴󰁀
枭	勹丶ㄅ木
箅	⺮田一󰀯
吝	文口󰀘
蝎	虫日勹󰄃
郾	匚日女阝
泠	氵人丶󰁻
孥	女又子󰀘
焱	火火火󰁧
铨	钅人王󰀝
霰	󰀙󰁺月夂
鼹	臼󰁐󰁦女
圃	囗一月丶
酞	西一大丶
毡	丿二乚口
莳	艹日寸󰁧
璨	王󰀥夕米
煨	火田一󰀖
谗	讠⺈口󰁦
秸	禾士口󰀝
媲	女丿囗匕
爰	爫一又
貂	豸刀口󰀝
掬	扌勹米󰁶
婵	女丷󰅐󰀢
轳	车󰀥尸ノ
佗	亻宀匕󰁀
唛	口主夂󰁶
瀛	氵亠󰄃丶
玮	王二𠃌丨
桎	木一厶土
敝	丷冂󰅏夂
庾	广臼人󰀦
琛	王冖八木
璀	王山亻󰁷
樵	木亻󰁷灬
剁	几木刂󰀢
烬	火尸󰂃󰁦
噩	王口口口
诿	讠禾女󰀝
邝	广阝󰀢
忖	忄寸󰁶
闩	门一󰀌
杵	木𠂉十󰀢
犟	弓口虫󰀟
硌	石夂口󰀝
瞑	目冖日八
镨	钅䒑󰅊日
躏	口止艹󰁷
渚	氵土丿日
礴	石艹氵寸
嘤	口贝贝女
沌	氵一凵乚
臊	月口口木
钇	钅乙󰁀
铿	钅〢又土
豢	䒑大一󰀓
攥	扌⺮目小
喟	口田月󰀝
珂	王丁口󰀝
铢	钅󰅎󰅇󰁶
蚯	虫󰅍一󰀝
麸	主夕二人
郸	丷󰅐阝󰀢
绯	纟丨三三
氪	󰅎⺄古儿
蚝	虫丿二乚
芗	艹󰁲丿󰁣
蕙	艹一日心
赀	止匕贝󰁧
讴	讠匚乂󰁶
澧	氵ㄇ󰁺䒑
沓	水日󰀘
眸	目厶丿󰀟
镖	钅覀二小
癖	疒尸口十
傣	亻三人氺
潦	氵大丷小
茭	艹亠八乂
咂	口匚冂丨
赈	贝厂二󰀖
孺	孑󰀙丆〢
仞	亻刀丶󰁶
诰	讠丿土口
芷	艹止󰀘
蔺	艹门亻󰁷
绌	纟凵山󰀢
祉	礻󰁶止󰀝
沮	氵󰀐一󰀝
瓤	亠口口󰂃
徇	彳勹日󰀝
绉	纟⺈彐󰀝
蛀	虫丶王󰀝
喑	口立日󰀝
岱	亻󰀁丶山
怃	忄二󰁜󰁀
疟	疒匚一󰀌
圩	土一󰀛󰀢
嗔	口十󰀣八
愫	忄主ㄠ小
浠	氵乂丨
昵	日尸匕󰁀
膂	方𠂉󰀕月
扉	丶尸丨三
繇	爫󰅎山小
蓖	艹丿囗匕
翌	羽立󰀘
芫	艹二儿󰀅
藜	艹禾勹氺
嗷	口主󰁡夂
晁	日儿󰀪󰁧
柞	木𠂉丨二
邸	󰁚󰀁丶阝
勰	力力力心
猞	犭ノ人口
泸	氵󰀥尸ノ
蹩	丷冂󰅇󰁾
殚	一夕丷󰅐
漳	氵立日十
亳	亠口冖七
溘	氵土厶皿
裾	衤󰁧尸古
衮	亠八厶󰀔
媾	女󰀀冂土
脲	月尸水󰁶
畋	田夂󰁶
蹙	厂󰀥一󰁾
搐	扌亠ㄠ田
冼	冫丿土儿
煅	火亻三又
涡	氵口冂人
湫	氵禾火󰁶
铯	钅⺈巴󰁀
淖	氵󰀥日十
掾	扌󰅂一󰀓
闾	门口口󰀌
胄	由月󰀘
蹶	口止厂人
羔	丷王灬󰁧
郏	一丷大阝
嵬	山白󰁜厶
猝	犭ノ亠十
榭	木丿󰀽寸
疸	疒日一󰀌
瘢	疒丿󰁪又
粜	凵山米󰁧
掸	扌丷󰅐󰀢
拎	扌人丶󰁻
丐	一󰀥ㄅ󰁫
唷	口亠厶月
怆	忄人⺋󰁀
骧	󰀊󰀞亠󰀔
缫	纟巛日木
槌	木亻󰁃辶
瞰	目乛耳夂
胯	月大二ㄅ
瘴	疒立日十
狰	犭ノ⺈亅
讵	讠匚󰁃󰀝
茯	艹亻大丶
萼	艹口口ㄅ
韫	二𠃌丨皿
枋	木方ノ
铄	钅丿󰄃小
镬	钅艹亻又
霭	󰀙讠日󰄃
鑫	金釒金󰀘
涪	氵立口󰀝
缥	纟覀二小
戢	口耳󰅅丶
脍	月人二厶
聿	󰁬󰀟󰀵
颔	人丶乛贝
蹬	口止癶䒑
谩	讠日罒又
坨	土宀匕󰁀
喋	口廿󰄃木
嚆	口艹亠口
囔	口一口󰀔
岬	山甲󰀢
悝	忄日土󰀝
浍	氵人二厶
眚	丿主目󰀘
矜	󰁻乛亅乛
洱	氵耳󰀝
呸	口丆卜一
蛆	虫󰀐一󰀝
鸳	夕⺋勹一
郇	勹日阝󰀢
拊	扌亻寸󰁶
啾	口禾火󰁶
噙	口人亠厶
崆	山宀八工
瑕	王󰁃丨又
锵	钅丬夕寸
烩	火人二厶
揶	扌耳阝󰀢
潢	氵󰁺由八
轼	车󰀁工丶
铠	钅山己󰁀
鬣	󰀍厶彡󰁒
掣	󰅎冂丨手
嚎	口亠口󰀓
撅	扌厂䒑人
沤	氵匚乂󰁶
滓	氵宀立十
偎	亻田一󰀖
阖	门土厶皿
缈	纟目小丿
篦	⺮丿囗匕
缄	纟厂一丶
臼	臼丿丨一
蔫	艹一止灬
揄	扌人一刂
悴	忄亠人十
榛	木三人禾
轶	车󰅎人󰁶
砥	石󰁚󰀁丶
邯	艹二阝󰀢
陲	阝丿十一
狒	犭ノ弓󰀯
汨	氵日󰀝
辍	车又又又
抉	扌ユ人󰁶
瞳	目立日土
俳	亻丨三三
凫	勹丶ㄅ几
吡	口󰁴匕󰁀
狎	犭ノ甲󰀢
涮	氵尸冂刂
缜	纟十󰀣八
恚	土土心󰁧
碣	石日勹󰄃
稞	禾日木󰁶
沏	氵七刀ノ
蚤	又丶虫󰁧
裱	衤󰁧主󰀔
鹘	󰀾月勹一
疡	疒ㄋ󰁤󰀏
辕	车土口󰀔
耷	大耳󰀘
湮	氵覀土󰀝
遒	丷西一辶
瓒	王丿土贝
斐	丨三丨文
砜	石几乂󰁶
鸾	亠󰁗勹一
褛	衤󰁧米女
荤	艹冖车󰀬
罔	冂䒑亠󰄃
偃	亻匚日女
诂	讠古󰀝
赓	广󰁬人贝
惆	忄󰀼土口
曷	日勹人󰄃
煦	日勹口灬
跷	口止弋儿
癸	癶一大󰁧
粳	米一日乂
汐	氵夕󰁶
盂	一󰀛皿󰀘
剞	大丁口刂
倜	亻󰀼土口
莞	艹宀二儿
泓	氵弓厶󰁶
缑	纟亻ユ大
犄	牜大丁口
陨	阝口贝󰁶
阱	阝二󰀯󰀢
悖	忄十冖子
炜	火二𠃌丨
焯	火󰀥日十
畈	田⺁又󰁶
螃	虫亠丷方
簪	⺮󰀂󰁜日
匮	匚口丨贝
俅	亻一氺丶
僬	亻亻󰁷灬
扪	扌门󰁀
喔	口尸一土
饨	⺈󰁐一乚
滟	氵三丨巴
溏	氵广󰁬口
妩	女二󰁜󰁀
珩	王彳一丁
楫	木口耳󰀝
鹄	丿土口一
褴	衤󰁧〢皿
耠	三󰅇人口
筲	⺮⺌月󰀘
鲦	󰁢󰀞夂木
赁	亻丿士贝
刈	乂刂󰀢
倏	亻丨夂丶
谪	讠亠丷古
薅	艹女厂寸
饴	⺈󰁐厶口
馄	⺈󰁐日匕
迳	ス工辶󰀌
珑	王ヒ丶
铡	钅贝刂󰀢
俣	亻口一大
岷	山󰁃󰁐弋
憔	忄亻󰁷灬
窠	宀八日木
綦	艹三八小
鳖	丷冂󰅏一
囱	丿囗夕󰀦
胰	月一弓人
圻	土斤󰀢
垧	土丿冂口
玷	王󰀥口󰀝
簌	⺮一口人
鲞	䒑大󰁢一
砒	石󰁴匕󰁀
俚	亻日土󰀝
圳	土川󰀢
骞	宀󰀀八一
祛	礻󰁶土厶
矸	石干󰀢
鹞	爫󰅎山一
癫	疒十󰀣贝
醪	西一羽彡
蹉	口止䒑工
蹋	口止日羽
邺	󰅊一阝󰀢
猗	犭ノ大口
绶	纟爫冖又
玺	⺈小王丶
挈	三丨刀手
铙	钅弋丿儿
酊	西一丁󰀢
畦	田土土󰀝
冢	冖一󰀓丶
鄣	立日十阝
忏	忄丿十󰀢
屙	尸阝丁口
婧	女主月󰀝
嫦	女⺌冖丨
顼	王丆贝󰁶
猷	丷西一丶
痨	疒艹冖力
痘	疒一口䒑
羚	䒑󰀠人󰁻
孪	亠󰁗子󰀘
铱	钅亠󰀔󰁶
篆	⺮󰅂一󰀓
啬	十䒑囗口
僦	亻亠口丶
诘	讠士口󰀝
谀	讠臼人󰁶
谙	讠立日󰀝
芮	艹冂人󰁧
嗌	口䒑八皿
噤	口木木小
囝	囗子󰀌
恹	忄厂大丶
寮	宀大丷小
槁	木亠口口
樽	木丷西寸
戡	艹三八戈
毽	丿二乚廴
鸲	勹口勹一
鹦	贝贝女一
痱	疒丨三三
裨	衤󰁧白十
耩	三󰅇󰀀土
趿	口止乃󰂃
鲛	󰁢󰀞亠乂
鼷	臼󰁐󰁦大
赊	贝人二小
壹	士冖一䒑
丌	一󰀯󰀵
伢	亻󰀂亅丿
谧	讠心丿皿
塥	土一口丨
抻	扌日丨󰀢
哝	口冖󰀔󰁶
浣	氵宀二儿
宸	宀厂二󰀖
弩	女又弓󰀅
鬻	弓米弓丨
橹	木󰁢一日
赆	贝尸󰂃󰁦
胛	月甲󰀢
睨	目臼儿󰁀
跄	口止人⺋
隽	亻󰁷乃󰁣
侗	亻冂一口
孵	󰁚丶丿子
潞	氵口止口
侏	亻󰅎󰅇󰁶
呷	口甲󰀢
泯	氵󰁃󰁐弋
婺	󰁻乛亅女
蜮	虫戈口󰀞
粲	󰀥夕又米
忻	忄斤󰀢
诎	讠凵山󰀢
幔	冂丨日又
钺	钅一󰁐丶
霈	󰀙氵一丨
鲮	󰁢󰀞土夂
诤	讠⺈󰁬亅
谔	讠口口ㄅ
陟	阝止󰀤ノ
壅	亠󰁲丿土
菽	艹󰀥一又
摅	扌󰅋七心
幛	冂丨立十
嶙	山米夕丨
犷	犭ノ广ノ
钸	钅冂丨
趄	土󰁾󰀐一
踹	口止山〢
鞣	廿口十木
鼯	臼󰁐󰁦口
氽	人水󰁧
惬	忄匚一大
觑	󰅋七󰅊󰁜
钤	钅人丶乛
醵	西一󰅋󰀓
稣	󰁢󰀞禾󰁶
畚	厶大田󰀘
荠	艹文󰀯󰀬
莅	艹亻立󰀘
啻	亠丷冖口
怵	忄木丶󰁶
恽	忄冖车󰀢
阕	门癶一大
濯	氵羽亻󰁷
迩	⺈小辶󰀦
姹	女宀丿七
琬	王宀夕⺋
橛	木厂䒑人
轱	车古󰀝
甑	丷󰀺日丶
暄	日宀一一
腚	月宀一󰁾
旌	方𠂉丿主
钚	钅丆卜󰁶
蝠	虫一口田
蝮	虫𠂉日夂
箴	⺮厂一丶
羰	䒑󰀠山火
豇	一口䒑工
踮	口止广口
鼋	二儿口乚
鲷	󰁢󰀞󰀼口
毖	󰁴匕心丿
臀	尸󰁺八月
俪	亻一冂丶
郅	一厶土阝
圄	囗五口󰀌
溽	氵厂二寸
姒	女󰁐丶人
瑭	王广󰁬口
璜	王󰁺由八
舫	丿󰁪方ノ
偻	亻米女󰀝
