礼	二小乚󰁀
镲	钅宀󰁯小
煸	火丶尸艹
龠	人一口艹
痔	疒土寸󰀦
渕	氵䒑大刂
帕	冂丨白󰀝
䗔	虫亻ユ大
稓	禾󰁺日󰀝
颲	几丿虫刂
鸕	虍田皿灬
藔	艹宀大小
梲	木八口儿
偱	亻⺁十目
䁱	目土土儿
㢲	弓弓一八
娓	女尸毛󰁀
籃	⺮匚丨皿
覯	󰀀冂土儿
鲒	󰁢󰀞士口
馯	󰀋灬干󰀢
酞	西一大丶
滦	氵亠󰁗木
煞	⺈彐夂灬
港	氵󰁺八巳
䨑	󰀙一弓人
哆	口夕夕󰁶
孵	󰁚丶丿子
叫	口󰁐丨󰀢
炜	火二𠃌丨
爒	󰁝火大小
鈒	釒乃󰂃󰁶
㖔	口丿大口
䵕	禾人氺古
䥲	釒匚口人
冱	冫一󰅂一
楲	木戊一女
祲	礻󰁶彐又
襲	立月一󰀔
饲	⺈󰁐𠃌口
熮	火羽人彡
旎	方𠂉尸匕
闺	门土土󰀌
锆	钅丿土口
疔	疒丁󰀵
薔	艹土人口
鵕	厶八夂灬
额	宀夂口贝
㓂	冖二儿女
谱	讠䒑󰅊日
兢	古儿古儿
拈	扌󰀥口󰀝
襟	衤󰁧木小
讵	讠匚󰁃󰀝
鲁	󰁢一日󰀘
络	纟夂口󰀝
䦯	門一厶攵
慮	虍田心󰀦
苒	艹冂土󰀘
烸	火𠂉母󰁶
䃸	石人人󰀞
墹	土門日󰀝
沁	氵心󰁶
宵	宀⺌月󰀘
硔	石󰁺八󰁶
桔	木士口󰀝
顔	立丿彡貝
䤲	釒土󰁖󰁶
礲	石立月三
椲	木󰁆口㐄
餲	人良曰󰄃
褲	衤󰁧广車
腥	月日丿主
偬	亻勹󰁤心
挞	扌大辶󰁶
烘	火󰁺八󰁶
㡔	󰁻乛亅丨
屁	尸󰁴匕󰁫
塔	土艹人口
䡔	車夕夕󰁶
蒾	艹米辶󰁧
髓	󰀾月辶
涨	氵弓丿󰂃
鴃	󰁟灬ユ人
錮	釒囗古󰀝
鄸	艹罒冖阝
敂	勹口攵󰁶
书	󰁈𠃌丨丶
䴃	土土土灬
冋	冂口󰀌
鹦	贝贝女一
削	⺌月刂󰀢
涟	氵车辶󰁶
秘	禾心丿ノ
蜒	虫丿止廴
眦	目止匕󰁀
迕	𠂉十辶󰀵
姲	女宀女󰀝
栔	三丨刀木
㧲	扌宀木󰁶
脱	月丷口儿
鄱	丿米田阝
愱	忄疒𠂉大
秲	禾土寸󰁶
笓	⺮󰁴匕󰀅
嘴	口止匕用
定	宀一󰁾󰁧
笯	⺮女又󰁧
俕	亻宀木󰁶
堔	土冖八木
鉸	釒六乂󰁶
㠔	山尸口辛
㨹	扌三丨彐
䨹	󰀙亻丨灬
蔂	艹田幺小
恮	忄人王󰀝
理	王日土󰀝
程	禾口王󰀝
呀	口󰀂亅丿
踵	口止丿土
间	门日󰀌
猒	曰月犬󰁶
儮	亻厂禾止
茒	艹夕阝󰀬
蹭	口止丷日
日	日日日日
谁	讠亻󰁷󰀝
浚	氵厶八夂
恛	忄囗口󰀝
䅱	禾山一䒑
䓔	艹土丿子
㴕	氵艹禾󰁶
馲	󰀋灬丿七
腱	月󰁬󰀟廴
禲	礻󰁶厂丶
慱	忄一曰寸
溨	氵十戈木
案	宀女木󰁧
磹	石覀早󰀢
悸	忄禾子󰀝
傸	亻大乂乂
鴕	󰁟灬宀匕
蓔	艹丷王灬
紕	糹󰁴匕󰁀
涃	氵囗木󰁶
桯	木口王󰀝
硯	石目儿󰁀
旧	丨日󰀝
浓	氵冖󰀔󰁶
漭	氵艹大廾
楣	木󰁅目󰀝
叒	又又又󰁧
菒	艹曰木󰁧
墯	忄工土
鄀	艹口阝
膝	月木人氺
銱	釒口冂丨
暴	日󰁺八氺
鷃	曰宀女灬
妹	女二󰅇󰁶
婲	女艹亻匕
抱	扌勹巳󰁀
穲	禾一冂匕
颔	人丶乛贝
䇸	⺮口王󰀘
渠	氵匚󰁃木
㩲	扌艹口󰁷
䊱	米人人󰀞
左	工󰀘
濉	氵目亻󰁷
䯓	󰀾月土土
镭	钅󰀙田󰀝
岷	山󰁃󰁐弋
㢔	广彳人󰁾
䢔	人一口辶
墔	土山亻󰁷
煀	火尸凵山
夁	士罒囗古
慀	忄爫幺大
洧	氵月󰀝
醛	西一艹王
瞿	目目亻󰁷
舸	丿󰁪丁口
晴	日主月󰀝
宔	宀丶王󰀘
憛	忄覀早󰀢
箔	⺮氵白󰀘
膛	月⺌冖土
埭	土󰁬氺󰁶
騲	󰀋灬艹早
㮔	木丿一土
䮔	󰀋灬丿󰁺
拱	扌󰁺八󰁶
娲	女口冂人
英	艹ㄇ大󰁧
稲	禾爫丨日
盲	亠󰄃目󰀘
拜	三十󰀢
䨲	󰀙丆冂丶
㨲	扌艹宀木
惴	忄山丆〢
鴗	立󰁟灬󰁶
呒	口二󰁜󰁀
摒	扌尸䒑廾
簓	⺮󰀼土彡
带	一〣冖丨
懮	忄丆󰀐夂
時	日土寸󰁶
私	禾厶󰁶
耕	三󰅇二󰀯
鸦	󰀂亅丿一
偲	亻田心󰁶
寁	宀一󰁬󰁾
提	扌日一󰁾
犰	犭ノ九󰁀
谟	讠艹日大
兛	古儿丿十
䯔	󰀾月宀七
㯔	毛毛毛木
站	立󰀥口󰀝
鯔	󰁢灬巛田
腛	月尸一土
煛	目目火󰁧
比	󰁴匕󰁀
爱	爫冖又
舱	丿󰁪人⺋
刱	二󰀯刀八
戱	虍〢󰄃戈
㫲	日十冖子
䫲	戊一口貝
泶	󰀧冖水󰁧
嬸	女宀丿田
揯	扌忄一一
昼	尸󰂃日一
峦	亠󰁗山󰀬
阪	阝⺁又󰁶
泞	氵宀丁󰀢
苘	艹冂口󰀘
臂	尸口立月
娃	女土土󰀝
魑	白󰁜厶厶
谊	讠宀󰀐一
法	氵土厶󰁶
察	宀󰁯二小
綦	艹三八小
鴨	甲󰁟灬󰁶
鬔	󰂞彡夂辶
叶	口十󰀢
笔	⺮丿二乚
舛	夕󰀂丨󰀢
创	人⺋刂󰀢
欔	木目目又
㬔	日羽人彡
䈛	⺮󰀥冂又
殱	一夕十󰀞
骲	󰀾月勹巳
讱	讠刀丶󰁶
鏰	釒山月月
扱	扌乃󰂃󰁶
媲	女丿囗匕
䪲	一󰀯丆貝
㪲	󰁦十乛󰀅
丽	一冂丶丶
北	丬匕󰁀
涸	氵囗古󰀝
㚂	土一口󰀔
猛	犭ノ子皿
陛	阝󰁴匕土
嚂	口匚丨皿
仃	亻丁󰀢
鶸	弓冫弓灬
蔿	艹爫丿灬
捯	扌一厶刂
赨	土󰁖虫󰁶
崓	山囗古󰀝
㵨	尸口辛水
曀	日士冖䒑
魔	广木木厶
魜	󰁢灬人󰁶
沢	氵尸󰂃󰁶
懛	忄士口土
孔	孑乚󰁀
譔	言巳巳八
燛	󰁃丨匚火
荞	艹丿大󰀯
哭	口口犬󰁧
䭔	人良丿辶
㭔	木丿丷󰀛
崭	山车斤󰀬
震	󰀙厂二󰀖
缃	纟木目󰀝
帧	冂丨󰀥贝
㼃	王巛囗󰁒
漃	氵宀上又
帮	三丿阝丨
沛	氵一冂丨
说	讠丷口儿
潑	氵癶弓又
䀹	目大人人
蹀	口止廿木
蕉	艹亻󰁷灬
璐	王口止口
汽	氵󰅎⺄󰁀
坼	土斤丶󰁶
轃	車三人禾
㜂	土土寸女
銮	亠󰁗金󰀘
污	氵二ㄅ󰁀
嶓	山丿米田
蜾	虫日木󰁶
鶓	艹田󰁟灬
绿	纟󰁭氺󰁶
裕	衤󰁧八口
㬱	丿土儿日
嶂	山立早󰀢
等	⺮土寸󰁧
捰	扌曰木󰁶
笱	⺮勹口󰀘
䬱	人良木一
嬱	氵車斤女
赊	贝人二小
䲨	工󰁟灬󰁶
荰	艹木土󰀘
鍰	釒爫一又
噔	口癶一䒑
井	二󰀯󰀵
癔	疒立日心
晔	日亻ヒ十
陔	阝亠ㄥ人
虔	󰅋七文󰀦
执	扌九丶󰁶
剧	尸古刂󰀢
钉	钅丁󰀢
蓐	艹厂二寸
岑	山人丶乛
駅	󰀋灬尸󰂃
狞	犭ノ宀丁
星	日丿主󰀘
僬	亻亻󰁷灬
媸	女凵丨虫
鏯	釒大乂乂
雁	厂亻亻󰁷
邀	白方夂辶
體	󰀾月ㄇ䒑
諔	言上小又
竔	立丿廾󰀢
扛	扌工󰀝
剛	冂䒑山刂
䉛	⺮丿ㄇ大
䎰	二木󰁺斤
现	王ㄇ󰁜󰁀
掰	八刀手
鯱	󰁢灬虍几
莰	艹土⺈人
洈	氵⺈厂⺋
鸓	田田田灬
昔	󰁺日󰀘
瘔	疒艹古󰀌
䘔	丿皿宀口
嘔	口匚口口
蹼	口止󰅊人
繼	糹幺幺󰄃
跕	口止󰀥口
阔	门氵丿古
乼	氵丶王乙
㹼	犭󰁥勹米
涔	氵山人乛
句	勹口󰀌
猞	犭ノ人口
晭	日󰀼土口
鐯	釒艹土日
䘒	丿皿厶夂
昒	日勹󰁤󰁥
幓	冂丨厶彡
鲦	󰁢󰀞夂木
阁	门夂口󰀌
㓰	一由凵刂
䓰	艹覀土󰀘
岱	亻󰀁丶山
擰	扌宀心丁
鳔	󰁢󰀞覀小
伯	亻白󰀝
蘒	艹禾⺈乚
瘒	疒冖車󰀵
鹓	宀夕⺋一
弯	亠󰁗弓󰀅
㴸	氵門人󰁶
䴸	木人人子
瓰	一󰁐󰁊刀
蓰	艹彳止󰁾
铰	钅亠八乂
疿	疒弓󰀯󰀵
纼	纟弓丨󰀢
躼	丿󰀽三󰀖
庼	广󰁴丆贝
溼	氵一幺土
㺼	王乛󰁾󰁶
亼	人一󰀘
殡	一夕宀八
继	纟米󰄃󰁀
忖	忄寸󰁶
志	士心󰁧
㳸	氵艹亻ヒ
斑	王文王󰀝
旿	日𠂉十󰀢
糸	幺小󰁧
䗿	虫宀心丁
磂	石󰁚丶田
㭱	木匚甲󰀢
摑	扌囗戈󰀞
闿	门山己󰁫
㲒	勹口毛󰁀
筱	⺮亻丨夂
挰	扌口王󰀝
孱	尸子孑子
䭱	禾日㡀󰁶
窟	宀八尸山
㚒	大丿丶丶
錰	釒木灬󰁶
㚔	大䒑十󰀬
乕	⺁二冂丨
嚔	口十冖󰁾
暔	日十冂十
皔	白曰干󰀢
蚔	虫󰁚󰀁󰁀
鹕	古月勹一
軼	車丿夫󰁶
综	纟宀二小
婊	女主󰀔󰁶
殇	一夕𠂉󰁤
仼	亻王󰀝
㻼	王覀早󰀢
玛	王󰀊一󰀝
莛	艹丿士廴
馔	⺈󰁐巳八
凛	冫亠囗小
㦔	日月犬心
䦔	門日一󰀌
厛	厂口斤󰀵
榔	木丶彐阝
於	方人󰁦󰁶
灁	氵門白水
糒	米󰁺丿用
峒	山冂一口
搑	扌艹耳󰀝
䳒	十戈󰁟灬
诶	讠厶𠂉大
钵	钅木一󰀝
掷	扌䒑大阝
尰	乚丿土
䰰	󰀙丆冂厶
㰰	大人人人
汚	氵二ㄅ󰁀
尞	大丷曰小
皇	白王󰀘
懦	忄󰀙丆〢
正	一止󰀌
敯	󰁂󰀁日又
奂	⺈ㄇ大󰁧
㥂	忄日一寸
畿	ㄠㄠ戈田
鎷	釒󰀋灬󰁶
谰	讠门一󰅇
玷	王󰀥口󰀝
秔	禾亠几󰁀
槔	木白大十
委	禾女󰀘
䍛	罒囗古󰀘
鵸	大丁口灬
瓑	王厂禾止
駔	󰀋灬󰀐一
荛	艹弋丿儿
赝	厂亻亻贝
颡	又又又贝
䒯	艹冖九丶
谦	讠䒑󰁬󰁗
蒯	艹月月刂
啮	口止人凵
涯	氵厂土土
欤	一ㄅ󰀞人
旷	日广ノ
痷	疒大曰乚
跰	口止䒑廾
闷	门心󰀦
欢	又⺈人󰁶
園	囗土口󰀔
丸	九丶󰀦
常	⺌冖口丨
䒑	䒑丶丿一
蟒	虫艹大廾
㯨	木覀米󰁶
鑄	釒士乛寸
㧔	扌戊󰁶
㗷	口宀󰀀贝
䗷	虫立日心
嗷	口主󰁡夂
鐛	釒曰󰁸小
呵	口丁口󰀝
礔	石尸口辛
萛	艹目廾󰀬
夔	䒑丿目夂
椔	木巛田󰀝
㤔	忄亻寸󰁶
䐛	月大耳󰀝
㟒	山󰁬丿口
淸	氵冂一
姂	女丿之󰁶
槂	木孑丿小
鳝	󰁢󰀞䒑口
迓	󰀂亅丿辶
翓	士口羽󰀝
脊	󰀪人月󰀘
䲰	二厶󰁟灬
㲰	宀心皿毛
挷	扌三丿阝
岰	山幺力󰁥
俓	亻一巛工
亨	󰁸了󰀬
酁	⺈口󰁴阝
覂	覀丿之󰁧
如	女口󰀝
瘿	疒贝贝女
岸	山厂干󰀬
茑	艹󰁠一󰀘
茷	艹亻戈󰁧
粰	米爫子󰀝
趔	土󰁾一刂
錷	釒車乚󰁀
襔	衤󰁧廿丶
祔	礻󰁶亻寸
塒	土日土寸
饔	亠󰁲丿󰀖
䥔	釒覀米󰁶
㥔	忄亠厶月
換	扌⺈ㄇ大
奔	大十廾󰀬
瑯	王丶󰁮阝
葯	艹糹勹丶
鑯	釒人人󰀞
学	󰀧冖子󰀘
河	氵丁口󰀝
吼	口孑乚󰁀
呿	口土厶󰁶
月	月月月月
屰	䒑凵丿󰁣
汰	氵大丶󰁶
㱰	一夕宀辛
䱰	󰁢灬丿土
氯	󰅎⺄󰁭氺
氽	人水󰁧
谯	讠亻󰁷灬
裳	⺌冖口󰀔
迯	夕卜辶󰀦
鵂	亻木󰁟灬
迂	一󰀛辶󰀵
惰	忄工月
鍷	釒大土土
浂	氵䒑大󰁶
籰	⺮目目又
荷	艹亻丁口
薁	艹丿ㄇ大
㠾	夕⺋冂丨
赞	丿土儿贝
尽	尸󰂃󰁦󰁧
樘	木⺌冖土
性	忄丿主󰀝
粂	ク󰂃米󰁧
沂	氵斤󰀢
臣	匚丨󰁃丨
㲔	辛毛󰁀
䲔	󰁢灬一一
傛	亻宀八口
沔	氵一丨𠃌
炛	火亻ヒ󰀅
肛	月工󰀝
邛	工阝󰀢
鴰	丿古󰁟灬
贰	弋二贝丶
細	糹田󰀝
暷	日一曰寸
媒	女艹二木
徂	彳󰀐一󰀝
睁	目⺈󰁬亅
翠	羽亠人十
唼	口立女󰀝
辩	辛讠辛󰀢
厥	厂䒑凵人
槟	木宀󰅍八
崰	山巛田󰀝
䴰	木人人戈
㚷	女人小󰁶
尬	乚人󰀯
慢	忄日罒又
飔	几乂田心
葛	艹日勹󰄃
磔	石夕󰀂木
棔	木󰁚󰀁日
壔	土士乛寸
䑛	丿古󰁚丶
㑛	亻木口󰀝
轰	车又又󰁧
蹙	戊上小󰁾
泂	氵冂口󰀝
镞	钅方𠂉大
接	扌立女󰀝
竦	立一口󰅇
髒	󰀾月艹廾
舑	丿古冂土
铷	钅女口󰀝
呁	口勹冫󰀝
㑁	亻凵山󰀢
㺮	王二ㄅ󰁀
哷	口爫寸󰁶
滰	氵立曰儿
绰	纟󰀥早󰀢
軰	丬匕車󰀬
纮	纟厶󰁶
粽	米宀二小
㓷	丿目木刂
仰	亻󰁚卩󰀢
钰	钅王丶󰁶
遢	日羽辶󰀌
榫	木亻󰁷十
恩	囗大心󰁧
礤	石艹󰁯小
蜲	虫禾女󰀝
慧	三丨三心
肼	月二󰀯󰀢
酽	西一一厂
蹒	口止艹人
庿	广艹田󰀌
騒	󰀋灬又虫
䰔	󰂞彡丿皿
尔	⺈小󰁧
圭	土土󰀘
㰔	木言火又
脛	月一巛工
鰔	󰁢灬戊口
愛	爫冖心夂
簔	⺮亠一󰀔
綰	糹宀󰃧󰀝
涰	氵又又又
阷	阝一止󰀝
趰	土󰁾一乂
褮	火火冖󰀔
礮	石󰀋灬乂
符	⺮亻寸󰁧
茉	艹一木󰁧
裁	十戈亠󰀔
𢦏	十戈󰀦
峯	山夂三丨
槶	木囗戈󰀞
㘷	土艹乂󰁶
偽	亻丶丿灬
嘷	口丿目十
䶰	丿󰁵毛󰁀
渣	氵木日一
巤	巛囗乂󰁐
壮	丬士󰀝
楫	木口耳󰀝
咀	口󰀐一󰀝
榒	木弓冫冫
妒	女丶尸ノ
楠	木十冂十
㱔	止匕夕󰁧
㱂	广󰁬氺人
屔	丘尸匕󰁀
䃛	石車辶󰀢
烛	火虫󰁶
汔	氵𠂉乙󰁀
郛	爫孑阝󰀢
胛	月甲󰀢
走	土󰁾󰁧
鵰	󰀼土口灬
浰	氵禾刂󰀢
絰	糹一厶土
戥	日丿主戈
枮	木󰀥口󰀝
瞮	目亠厶攵
螮	虫廿儿丨
隈	阝田一󰀖
累	田ㄠ小󰁧
㞾	山尸匕󰁀
垾	土曰干󰀢
䙷	目儿寸󰁧
噷	口立日人
贯	󰅂十贝󰁧
㙷	土日幺灬
拼	扌䒑廾󰀢
哮	口土丿子
㖛	古口匕󰀅
侔	亻厶丿󰀟
缤	纟宀󰅍八
澯	氵󰀥夕米
珁	王一󰁐丶
盖	丷王皿󰀘
㝾	乚工
倽	亻人干口
䀽	目丿󰀥廴
羿	羽廾󰀬
逽	艹口辶
蝾	虫艹冖木
袷	衤󰁧人口
攞	扌罒糹󰁷
棚	木月月󰀝
窦	宀八十大
迁	丿十辶󰀵
鸰	人丶󰁻一
薷	艹󰀙丆〢
疷	疒󰁚󰀁丶
斷	幺幺一斤
喷	口十艹贝
丰	三丨󰀵
㖷	口日一󰁾
鎁	釒耳阝󰀢
诊	讠人彡ノ
喛	口爫一又
斛	⺈用󰁦十
羔	丷王灬󰁧
薛	艹亻󰁃十
㖆	口ㄇ󰁺󰀝
崆	山宀八工
汊	氵又丶󰁶
㨾	扌丷王󰀩
啛	口一󰁬女
䕛	艹言大人
㿔	疒田田田
㾱	疒癶二儿
侱	亻口王󰀝
埰	土爫木󰁶
澱	氵尸󰁺又
羱	⺶厂白小
辱	厂二󰀖寸
韰	󰀥夕又一
娾	女厂土土
擢	扌羽亻󰁷
濞	氵丿目󰀯
憭	忄大丷小
仅	亻又󰁶
遥	爫󰅎山辶
漆	氵木人氺
倐	亻丨夂火
触	⺈用虫󰁶
报	扌卩又󰁶
镛	钅广󰁬丨
蕛	艹禾丷丿
畛	田人彡ノ
敛	人一󰀧夂
鲟	󰁢󰀞彐寸
尊	丷西一寸
祚	礻󰁶𠂉二
㨚	扌艹勹日
㼔	日皿⺁󰂃
伔	亻冖几󰁀
掁	扌󰀍󰀖󰁶
净	冫⺈󰁬亅
郭	󰁸孑阝󰀢
悼	忄󰀥早󰀢
手	手丿一亅
鳄	󰁢󰀞口ㄅ
矬	𠂉大人土
框	木匚王󰀝
灐	氵火火金
聐	耳士口󰀝
偐	亻立丿彡
墮	阝工土
桅	木⺈厂⺋
惘	忄冂䒑󰄃
挢	扌丿大󰀯
锷	钅口口ㄅ
裔	亠󰀔冂口
栳	木土丿匕
攷	一ㄅ攵󰁶
庰	广䒑廾󰀵
蔷	艹十䒑口
纰	纟󰁴匕󰁀
江	氵工󰀝
剥	󰁭氺刂󰀢
鼔	士口䒑又
㔷	匚一冂人
瘛	疒三丨心
輔	車甫󰁶
嘛	口广木木
演	氵宀一八
莉	艹禾刂󰀬
脭	月口王󰀝
佔	亻󰀥口󰀝
㗛	口⺮丿大
换	扌⺈ㄇ大
肺	月一冂丨
栝	木丿古󰀝
戽	丶尸󰁦十
蝠	虫一口田
靠	丿土口三
栋	木󰀂小󰁶
睥	目白丿十
饮	⺈󰁐⺈人
旱	日干󰀬
塾	󰁸孑九土
襦	衤󰁧󰀙〢
驂	󰀋灬厶彡
扽	扌一凵乚
鹰	广亻亻一
郐	人二厶阝
畷	田又又又
蹰	口止厂寸
啷	口丶彐阝
敷	一󰀐丨夂
㹰	犭󰁥⺌儿
买	乛󰁦大󰁧
柝	木斤丶󰁶
受	爫冖又󰁧
潔	氵三丨小
彔	彑氺󰁧
轔	車米夕㐄
罔	冂䒑亠󰄃
䪔	󰁆口㐄甫
力	力𠃌丿
抛	扌九力ノ
窔	宀八六乂
芛	艹󰁬丿󰁣
銛	釒丿古󰀝
関	門䒑大󰀦
先	丿土儿󰀅
眰	目一厶土
潱	氵士冖䒑
傷	亻𠂉日󰁤
䂷	石丿十匕
司	𠃌一口󰀌
猢	犭ノ古月
邷	一󰁐⺄阝
蜰	月巴虫󰁧
稂	禾丶彐󰀖
柠	木宀丁󰀢
䦮	門三人日
熊	厶月匕灬
銽	釒󰁚󰀁口
蝑	虫乛󰁾月
弽	弓廿󰄃木
臭	丿目犬󰁧
胥	乛󰁾月󰀘
堞	土廿󰄃木
鄢	一止一阝
妮	女尸匕󰁀
祀	礻󰁶巳󰁀
劁	亻󰁷灬刂
韶	立日刀口
㪔	木木󰀥又
仔	亻子󰀝
㻔	王丿士󰁺
暝	日冖曰六
愈	人一月心
晤	日五口󰀝
栶	木囗大󰁶
呱	口⺁厶󰂃
李	木子󰀘
磰	石羊䒑口
裰	衤󰁧又又
飰	人良亠卜
鍅	釒氵土厶
㣰	彳丿米心
䣰	西一匚󰁃
声	士󰁅󰁣
棰	木丿十一
夀	二乛口寸
思	田心󰁧
毆	匚口口又
朦	月艹冖󰀓
矑	目虍田皿
漒	氵弓口虫
屐	尸彳十又
嗱	口人一手
朐	月勹口󰀝
俣	亻口一大
䥾	钅冖一一
黔	󰀹土灬乛
虛	虍〢󰄃一
癛	疒亠囗禾
晛	日目儿󰁀
噛	口止米凵
挛	亠󰁗手󰀬
稔	禾人丶心
䨔	󰀙⺌一儿
匛	匚ク󰂃󰀦
碉	石󰀼土口
瞑	目冖曰六
㞰	山𠂉十󰀢
錛	釒大十廾
垰	土上一卜
俱	亻󰀣八󰁶
瞰	目乛耳夂
枰	木一丷十
逷	日勹󰁤辶
耷	大耳󰀘
扢	扌𠂉乙󰁀
佟	亻夂󰁦󰁶
顶	丁丆贝󰁶
噢	口丿ㄇ大
㟑	山十冖子
是	日一󰁾󰁧
妁	女勹丶󰁶
卮	⺁一⺋󰁫
桶	木󰁻月丨
春	三人日󰀘
囖	口⺮罒󰁷
枟	木二厶󰁶
㭽	木广󰁚丶
埕	土口王󰀝
唢	口⺌贝󰁶
㨔	扌戊一口
董	艹丿一土
斫	石斤󰀢
婔	女丨三三
䋛	糹米󰁶
穔	禾󰁺由八
橔	木󰁸孑攵
驔	󰀋灬覀早
㼱	丬匕冖丶
冀	丬匕田八
䞑	土󰁖工󰀝
漱	氵一口人
睰	目艹口
伱	亻人小󰁶
坰	土冂口󰀝
玮	王二𠃌丨
玼	王止匕󰁀
蝰	虫大土土
遷	覀大巳辶
硁	石ス工󰀝
炔	火ユ人󰁶
骮	󰀾月󰀁丶
噙	口人亠厶
塬	土厂白小
锕	钅阝丁口
只	口八󰁧
铕	钅月󰀝
梦	木木夕󰁧
蛄	虫古󰀝
陉	阝ス工󰀝
剿	巛日木刂
扙	扌󰂃󰁶
晑	曰丿冂口
㩔	扌尸󰁺又
鋼	釒冂䒑山
遰	廿儿冖辶
㴯	氵月匕日
灰	火󰁧
蠱	虫虫虫皿
偰	亻三丨大
恰	忄人一口
㠱	己󰀎八󰁧
䁰	目工丆貝
㶔	氵罒罒大
䶔	止󰀆也󰁀
嶔	山釒⺈人
枛	木⺁丨󰂃
撞	扌立日土
弟	丷弓丨丿
摧	扌山亻󰁷
哑	口一󰅊一
摞	扌田ㄠ小
蚕	一大虫󰁧
芥	艹人󰀯󰀬
韦	二𠃌丨󰀵
綔	大二ㄅ小
螛	虫宀三口
鞛	廿󰀜立口
桑	又又又木
癞	疒一口贝
东	󰀂小󰀦
金	金金金金
髽	󰂞彡人土
棁	木丷口儿
肀	󰁬丨󰀵
晕	日冖车󰀬
鹒	广󰁬人一
裱	衤󰁧主󰀔
炰	勹巳灬󰁧
搔	扌又丶虫
邰	厶口阝󰀢
䂰	石禾刂󰀢
㣱	彳貝󰁶
棱	木土八夂
壱	士冖匕󰀅
㝛	宀亻一人
鹊	󰁺日勹一
迷	米辶󰀦
恵	一由心󰁧
睛	目主月󰀝
淔	氵十󰀣󰀝
坛	土二厶󰁶
䝛	豸皮󰁶
撰	扌巳巳八
刑	一廾刂󰀢
靛	主月宀󰁾
跔	口止勹口
渒	氵白丿十
徼	彳白方夂
也	也𠃌丨乚
啫	口土丿日
惝	忄⺌冂口
增	土丷󰀺日
璼	王匚丨皿
豽	豸冂人󰁶
曰	日丨󰁈一
咔	口上卜󰁶
凑	冫三人大
保	亻口木󰁶
倭	亻禾女󰀝
褐	衤󰁧日󰄃
䳯	丿一日灬
湫	氵禾火󰁶
倚	亻大丁口
齿	止人凵󰀬
胰	月一弓人
姒	女󰁐丶人
崔	山亻󰁷󰀘
洔	氵土寸󰁶
䦱	門爫丿灬
妱	女刀口󰀝
懰	忄󰁚丶刂
燰	火爫冖夂
覱	車斤目儿
釰	釒刀丶󰁶
朁	󰀄󰁜󰀄日
㜁	女木日一
鏮	釒广󰁬氺
㕑	厂士口寸
鴔	丿之󰁟灬
蛔	虫囗口󰀝
純	糹一凵乚
蠛	虫艹罒丶
陱	阝勹米󰁶
䅥	禾日勹󰄃
尚	⺌冂口󰀘
软	车⺈人󰁶
哗	口亻ヒ十
嗔	口十󰀣八
搮	扌覀木󰁶
薑	艹一田一
亿	亻乙󰁀
逰	扌𠂉子辶
衱	衤󰁧乃󰂃
硱	石囗木󰁶
怰	忄亠幺󰁶
塱	丶󰁮月土
䡱	車匚口口
㡱	广ク󰂃󰀦
䵔	禾人氺日
㵔	氵大土日
浔	氵彐寸󰁶
埛	土冂八口
共	󰁺八󰁧
瞁	目目犬󰁶
螁	虫艮辶󰁶
鶯	火火冖灬
㞁	乚日匕
㶯	火󰁚丿卩
彂	业弓𠂉大
匐	勹一口田
蟛	虫士口彡
矛	󰁻乛亅丿
㗑	口三十
鵔	󰁟灬厶夂
剂	文󰀯刂󰀢
花	艹亻ヒ󰀅
梐	木󰁴匕土
椂	木󰁭氺󰁶
炝	火人⺋󰁀
飞	⺄󰁦󰀦
品	口口口󰀘
呤	口人丶󰁻
忑	一卜心󰁧
䵽	士口䒑厶
薮	艹米女夂
閮	門丿士廴
虁	艹䒑丿夂
㒛	亻羽亻󰁷
䒛	艹幺𠃌󰀅
咛	口宀丁󰀢
䤱	釒山斤󰀢
失	󰅎人󰀦
忠	口丨心󰁧
㤱	忄一口䒑
褱	亠罒氺󰀔
酰	西一丿儿
椱	木𠂉曰夂
礱	立月一石
忙	忄亠󰄃󰁀
凝	冫匕𠂉󰁾
㠽	冂丨夂󰁦
吁	口一󰀛󰀢
渥	氵尸一土
廂	广木目󰀌
并	䒑廾󰀬
微	彳山一夂
撛	扌米夕㐄
璛	王󰁬十󰀲
蒛	艹𠂉十人
钛	钅大丶󰁶
径	彳ス工󰀝
彳	彳丿丿丨
㘁	口皿土十
旦	日一󰀘
彬	木木彡ノ
滯	氵廿儿丨
眮	目冂一口
渂	氵曰文󰁶
隣	阝米夕㐄
瓐	王虍田皿
啦	口扌立󰀝
弱	弓冫弓冫
怚	忄󰀐一󰀝
塛	土覀木󰁶
姱	女大二ㄅ
㳔	氵又寸󰁶
熰	火匚口口
槱	木西一灬
駱	󰀋灬夂口
膰	月丿米田
纶	纟人匕󰁀
撦	扌大土日
稞	禾日木󰁶
慝	匚艹心
引	弓丨󰀢
通	󰁻用辶󰀵
賔	宀󰁅貝󰁧
糔	米又丶虫
捷	扌一󰁬󰁾
悛	忄厶八夂
嚷	口亠口󰀔
粯	米目儿󰁀
徊	彳囗口󰀝
呛	口人⺋󰁀
幢	冂丨立土
幅	冂丨一田
痛	疒󰁻用󰀵
侧	亻贝刂󰀢
坦	土日一󰀝
帐	冂丨丿󰂃
骱	󰀾月人󰀯
唛	口主夂󰁶
帅	リ冂丨󰀢
㔛	士口力󰁣
勰	力力力心
